Epoch 1: loss 0.00000915, MAE 44.02, MSE 109.80, Best MAE 44.02, Best MSE 109.80 
Epoch 2: loss 0.00000575, MAE 35.15, MSE 104.49, Best MAE 35.15, Best MSE 104.49 
Epoch 3: loss 0.00000427, MAE 34.15, MSE 106.11, Best MAE 34.15, Best MSE 106.11 
Epoch 4: loss 0.00000317, MAE 32.20, MSE 98.26, Best MAE 32.20, Best MSE 98.26 
Epoch 5: loss 0.00000245, MAE 38.18, MSE 104.57, Best MAE 32.20, Best MSE 98.26 
Epoch 6: loss 0.00000204, MAE 30.22, MSE 93.89, Best MAE 30.22, Best MSE 93.89 
Epoch 7: loss 0.00000188, MAE 31.87, MSE 93.14, Best MAE 30.22, Best MSE 93.89 
Epoch 8: loss 0.00000181, MAE 28.72, MSE 85.07, Best MAE 28.72, Best MSE 85.07 
Epoch 9: loss 0.00000185, MAE 27.74, MSE 90.71, Best MAE 27.74, Best MSE 90.71 
Epoch 10: loss 0.00000176, MAE 25.50, MSE 79.34, Best MAE 25.50, Best MSE 79.34 
Epoch 11: loss 0.00000178, MAE 26.86, MSE 85.43, Best MAE 25.50, Best MSE 79.34 
Epoch 12: loss 0.00000174, MAE 26.53, MSE 80.66, Best MAE 25.50, Best MSE 79.34 
Epoch 13: loss 0.00000171, MAE 27.54, MSE 83.24, Best MAE 25.50, Best MSE 79.34 
Epoch 14: loss 0.00000167, MAE 27.70, MSE 76.26, Best MAE 25.50, Best MSE 79.34 
Epoch 15: loss 0.00000171, MAE 33.09, MSE 76.26, Best MAE 25.50, Best MSE 79.34 
Epoch 16: loss 0.00000170, MAE 22.63, MSE 70.21, Best MAE 22.63, Best MSE 70.21 
Epoch 17: loss 0.00000167, MAE 21.96, MSE 70.17, Best MAE 21.96, Best MSE 70.17 
Epoch 18: loss 0.00000167, MAE 29.79, MSE 90.08, Best MAE 21.96, Best MSE 70.17 
Epoch 19: loss 0.00000167, MAE 24.66, MSE 71.88, Best MAE 21.96, Best MSE 70.17 
Epoch 20: loss 0.00000163, MAE 24.33, MSE 78.72, Best MAE 21.96, Best MSE 70.17 
Epoch 21: loss 0.00000157, MAE 21.65, MSE 73.32, Best MAE 21.65, Best MSE 73.32 
Epoch 22: loss 0.00000163, MAE 22.63, MSE 71.06, Best MAE 21.65, Best MSE 73.32 
