MAE 44.02, MSE 109.80 
MAE 35.15, MSE 104.49 
MAE 34.15, MSE 106.11 
MAE 32.20, MSE 98.26 
MAE 38.18, MSE 104.57 
MAE 30.22, MSE 93.89 
MAE 31.87, MSE 93.14 
MAE 28.72, MSE 85.07 
MAE 27.74, MSE 90.71 
MAE 25.50, MSE 79.34 
MAE 26.86, MSE 85.43 
MAE 26.53, MSE 80.66 
MAE 27.54, MSE 83.24 
MAE 27.70, MSE 76.26 
MAE 33.09, MSE 76.26 
MAE 22.63, MSE 70.21 
MAE 21.96, MSE 70.17 
MAE 29.79, MSE 90.08 
MAE 24.66, MSE 71.88 
MAE 24.33, MSE 78.72 
MAE 21.65, MSE 73.32 
MAE 22.63, MSE 71.06 
MAE 24.64, MSE 65.63 
MAE 25.18, MSE 81.52 
MAE 25.86, MSE 88.49 
MAE 27.29, MSE 85.94 
MAE 24.17, MSE 73.85 
MAE 23.34, MSE 81.20 
MAE 29.37, MSE 92.68 
MAE 21.72, MSE 74.82 
MAE 22.27, MSE 72.45 
MAE 21.97, MSE 67.48 
MAE 23.03, MSE 71.84 
MAE 24.64, MSE 70.08 
MAE 29.85, MSE 88.24 
MAE 23.89, MSE 75.14 
MAE 20.95, MSE 69.54 
MAE 20.82, MSE 69.76 
MAE 24.98, MSE 83.43 
MAE 25.43, MSE 74.13 
MAE 21.73, MSE 74.20 
MAE 22.53, MSE 73.20 
MAE 20.85, MSE 71.70 
MAE 22.93, MSE 74.49 
MAE 20.76, MSE 65.77 
MAE 22.84, MSE 74.59 
MAE 18.19, MSE 59.65 
MAE 23.02, MSE 79.01 
MAE 27.01, MSE 69.90 
MAE 22.15, MSE 75.96 
MAE 22.00, MSE 72.89 
MAE 19.14, MSE 66.26 
MAE 22.41, MSE 81.70 
MAE 19.71, MSE 66.76 
MAE 19.48, MSE 65.65 
MAE 20.17, MSE 69.09 
MAE 22.29, MSE 75.00 
MAE 29.16, MSE 66.26 
MAE 22.28, MSE 71.60 
MAE 17.62, MSE 59.05 
MAE 20.61, MSE 72.35 
MAE 23.14, MSE 70.25 
MAE 20.02, MSE 69.39 
MAE 21.43, MSE 67.76 
MAE 25.54, MSE 71.90 
MAE 20.81, MSE 68.61 
MAE 21.22, MSE 68.99 
MAE 20.41, MSE 72.56 
MAE 20.72, MSE 69.36 
MAE 19.09, MSE 65.55 
MAE 22.53, MSE 70.97 
MAE 24.37, MSE 74.84 
MAE 19.82, MSE 67.78 
MAE 24.32, MSE 76.09 
MAE 21.71, MSE 73.85 
MAE 20.70, MSE 66.70 
MAE 18.27, MSE 59.54 
MAE 22.85, MSE 76.34 
MAE 24.28, MSE 84.12 
MAE 22.77, MSE 72.83 
MAE 20.07, MSE 67.44 
MAE 23.53, MSE 83.55 
MAE 21.36, MSE 69.24 
MAE 19.81, MSE 68.34 
