Epoch 1: loss 0.00000897, MAE 39.10, MSE 113.10, Best MAE 39.10, Best MSE 113.10 
Epoch 2: loss 0.00000573, MAE 36.87, MSE 110.36, Best MAE 36.87, Best MSE 110.36 
Epoch 3: loss 0.00000429, MAE 36.49, MSE 110.23, Best MAE 36.49, Best MSE 110.23 
Epoch 4: loss 0.00000333, MAE 34.11, MSE 104.41, Best MAE 34.11, Best MSE 104.41 
Epoch 5: loss 0.00000265, MAE 37.69, MSE 108.98, Best MAE 34.11, Best MSE 104.41 
Epoch 6: loss 0.00000217, MAE 45.10, MSE 102.49, Best MAE 34.11, Best MSE 104.41 
Epoch 7: loss 0.00000199, MAE 32.47, MSE 103.77, Best MAE 32.47, Best MSE 103.77 
Epoch 8: loss 0.00000185, MAE 36.14, MSE 94.43, Best MAE 32.47, Best MSE 103.77 
Epoch 9: loss 0.00000185, MAE 30.13, MSE 93.62, Best MAE 30.13, Best MSE 93.62 
Epoch 10: loss 0.00000179, MAE 30.72, MSE 95.65, Best MAE 30.13, Best MSE 93.62 
Epoch 11: loss 0.00000174, MAE 27.91, MSE 83.11, Best MAE 27.91, Best MSE 83.11 
Epoch 12: loss 0.00000171, MAE 29.36, MSE 93.89, Best MAE 27.91, Best MSE 83.11 
Epoch 13: loss 0.00000175, MAE 28.06, MSE 90.43, Best MAE 27.91, Best MSE 83.11 
Epoch 14: loss 0.00000171, MAE 28.72, MSE 90.55, Best MAE 27.91, Best MSE 83.11 
Epoch 15: loss 0.00000168, MAE 23.52, MSE 72.57, Best MAE 23.52, Best MSE 72.57 
Epoch 16: loss 0.00000166, MAE 24.37, MSE 81.74, Best MAE 23.52, Best MSE 72.57 
Epoch 17: loss 0.00000167, MAE 33.89, MSE 99.43, Best MAE 23.52, Best MSE 72.57 
Epoch 18: loss 0.00000165, MAE 23.81, MSE 82.70, Best MAE 23.52, Best MSE 72.57 
Epoch 19: loss 0.00000165, MAE 21.98, MSE 66.05, Best MAE 21.98, Best MSE 66.05 
Epoch 20: loss 0.00000162, MAE 27.24, MSE 87.10, Best MAE 21.98, Best MSE 66.05 
Epoch 21: loss 0.00000165, MAE 22.05, MSE 62.04, Best MAE 21.98, Best MSE 66.05 
Epoch 22: loss 0.00000166, MAE 20.97, MSE 73.69, Best MAE 20.97, Best MSE 73.69 
Epoch 23: loss 0.00000168, MAE 22.05, MSE 71.40, Best MAE 20.97, Best MSE 73.69 
Epoch 24: loss 0.00000169, MAE 36.25, MSE 102.74, Best MAE 20.97, Best MSE 73.69 
Epoch 25: loss 0.00000160, MAE 21.45, MSE 74.68, Best MAE 20.97, Best MSE 73.69 
Epoch 26: loss 0.00000160, MAE 30.92, MSE 70.32, Best MAE 20.97, Best MSE 73.69 
Epoch 27: loss 0.00000170, MAE 23.93, MSE 78.77, Best MAE 20.97, Best MSE 73.69 
Epoch 28: loss 0.00000161, MAE 24.26, MSE 79.14, Best MAE 20.97, Best MSE 73.69 
Epoch 29: loss 0.00000156, MAE 21.90, MSE 67.29, Best MAE 20.97, Best MSE 73.69 
