MAE 39.10, MSE 113.10 
MAE 36.87, MSE 110.36 
MAE 36.49, MSE 110.23 
MAE 34.11, MSE 104.41 
MAE 37.69, MSE 108.98 
MAE 45.10, MSE 102.49 
MAE 32.47, MSE 103.77 
MAE 36.14, MSE 94.43 
MAE 30.13, MSE 93.62 
MAE 30.72, MSE 95.65 
MAE 27.91, MSE 83.11 
MAE 29.36, MSE 93.89 
MAE 28.06, MSE 90.43 
MAE 28.72, MSE 90.55 
MAE 23.52, MSE 72.57 
MAE 24.37, MSE 81.74 
MAE 33.89, MSE 99.43 
MAE 23.81, MSE 82.70 
MAE 21.98, MSE 66.05 
MAE 27.24, MSE 87.10 
MAE 22.05, MSE 62.04 
MAE 20.97, MSE 73.69 
MAE 22.05, MSE 71.40 
MAE 36.25, MSE 102.74 
MAE 21.45, MSE 74.68 
MAE 30.92, MSE 70.32 
MAE 23.93, MSE 78.77 
MAE 24.26, MSE 79.14 
MAE 21.90, MSE 67.29 
MAE 22.40, MSE 78.89 
MAE 20.31, MSE 64.85 
MAE 20.10, MSE 69.43 
MAE 21.32, MSE 69.54 
MAE 26.02, MSE 77.91 
MAE 22.97, MSE 77.44 
MAE 18.68, MSE 59.31 
MAE 21.95, MSE 74.35 
MAE 22.13, MSE 67.66 
MAE 20.34, MSE 69.45 
MAE 29.75, MSE 86.44 
MAE 21.26, MSE 71.82 
MAE 22.43, MSE 76.08 
MAE 19.94, MSE 67.70 
MAE 21.93, MSE 72.66 
MAE 22.60, MSE 65.41 
MAE 18.38, MSE 60.75 
MAE 19.21, MSE 66.53 
MAE 27.14, MSE 82.36 
MAE 22.01, MSE 73.20 
MAE 19.73, MSE 70.26 
MAE 19.79, MSE 68.49 
MAE 27.75, MSE 84.86 
MAE 21.05, MSE 73.65 
MAE 19.80, MSE 68.28 
MAE 19.07, MSE 67.45 
MAE 19.13, MSE 68.41 
MAE 36.03, MSE 103.74 
MAE 18.16, MSE 63.65 
MAE 21.95, MSE 75.21 
MAE 27.35, MSE 89.16 
MAE 20.93, MSE 73.14 
MAE 23.18, MSE 77.41 
MAE 29.03, MSE 84.89 
MAE 24.85, MSE 78.13 
MAE 21.49, MSE 75.15 
MAE 19.39, MSE 66.75 
MAE 24.00, MSE 79.02 
MAE 21.86, MSE 73.06 
MAE 19.97, MSE 68.93 
MAE 21.00, MSE 72.43 
MAE 21.10, MSE 74.71 
MAE 19.74, MSE 69.25 
MAE 22.26, MSE 72.48 
MAE 19.14, MSE 70.48 
MAE 18.40, MSE 65.11 
MAE 20.06, MSE 71.00 
MAE 21.52, MSE 72.81 
MAE 23.98, MSE 74.94 
MAE 24.96, MSE 71.54 
MAE 19.12, MSE 69.01 
MAE 23.33, MSE 76.77 
MAE 24.79, MSE 85.74 
MAE 23.30, MSE 81.41 
MAE 20.12, MSE 72.34 
MAE 19.85, MSE 67.47 
MAE 22.28, MSE 73.05 
MAE 21.40, MSE 70.64 
MAE 21.36, MSE 73.60 
MAE 22.13, MSE 75.04 
MAE 19.50, MSE 71.48 
MAE 24.01, MSE 86.76 
MAE 17.15, MSE 58.18 
MAE 19.37, MSE 69.86 
MAE 20.70, MSE 71.07 
MAE 20.13, MSE 67.75 
MAE 23.42, MSE 85.29 
MAE 21.23, MSE 72.96 
MAE 21.54, MSE 71.76 
MAE 23.53, MSE 78.15 
MAE 21.96, MSE 75.16 
MAE 19.70, MSE 68.94 
MAE 19.70, MSE 69.45 
MAE 20.96, MSE 69.58 
MAE 25.82, MSE 88.77 
MAE 20.56, MSE 71.55 
MAE 23.94, MSE 77.24 
MAE 20.89, MSE 72.35 
MAE 19.19, MSE 69.59 
MAE 19.04, MSE 67.70 
MAE 21.72, MSE 74.06 
MAE 18.28, MSE 65.41 
MAE 19.17, MSE 67.46 
MAE 20.46, MSE 71.27 
MAE 20.07, MSE 67.88 
MAE 23.43, MSE 77.78 
MAE 19.50, MSE 69.73 
MAE 19.90, MSE 72.92 
MAE 19.72, MSE 69.54 
MAE 19.63, MSE 70.15 
MAE 19.89, MSE 71.45 
MAE 21.39, MSE 76.02 
MAE 18.49, MSE 65.33 
MAE 20.10, MSE 66.31 
MAE 20.43, MSE 67.64 
MAE 23.75, MSE 82.68 
MAE 18.06, MSE 62.46 
MAE 18.40, MSE 65.99 
MAE 21.64, MSE 80.18 
MAE 19.62, MSE 69.49 
MAE 21.92, MSE 79.61 
MAE 21.75, MSE 62.34 
MAE 19.39, MSE 70.42 
MAE 18.79, MSE 65.06 
MAE 19.15, MSE 70.01 
MAE 20.10, MSE 70.80 
MAE 23.40, MSE 77.46 
MAE 19.25, MSE 70.42 
MAE 22.29, MSE 73.24 
MAE 19.25, MSE 69.41 
MAE 20.34, MSE 67.75 
MAE 20.95, MSE 73.62 
MAE 22.77, MSE 73.13 
MAE 20.24, MSE 70.83 
MAE 21.30, MSE 73.27 
MAE 19.82, MSE 71.84 
MAE 18.85, MSE 68.68 
MAE 18.39, MSE 66.81 
MAE 20.15, MSE 70.83 
MAE 19.66, MSE 71.69 
MAE 20.83, MSE 72.38 
MAE 21.50, MSE 72.12 
MAE 21.37, MSE 72.07 
MAE 19.09, MSE 67.57 
MAE 19.16, MSE 70.28 
MAE 21.15, MSE 67.52 
MAE 19.43, MSE 67.55 
MAE 20.18, MSE 70.91 
MAE 20.64, MSE 73.55 
MAE 18.70, MSE 66.59 
MAE 19.44, MSE 66.78 
MAE 20.79, MSE 71.54 
MAE 21.32, MSE 71.98 
MAE 20.55, MSE 70.07 
MAE 19.44, MSE 70.41 
MAE 19.59, MSE 72.62 
MAE 19.65, MSE 70.41 
MAE 19.64, MSE 69.87 
MAE 20.94, MSE 75.46 
MAE 20.79, MSE 76.28 
MAE 21.81, MSE 72.79 
MAE 20.67, MSE 73.89 
MAE 21.17, MSE 73.96 
MAE 19.51, MSE 72.98 
MAE 18.62, MSE 67.43 
MAE 18.67, MSE 70.14 
MAE 19.81, MSE 71.34 
MAE 20.43, MSE 73.31 
MAE 21.88, MSE 78.02 
MAE 20.60, MSE 71.94 
MAE 18.82, MSE 64.48 
MAE 20.16, MSE 74.86 
MAE 19.90, MSE 73.52 
MAE 20.35, MSE 70.66 
MAE 20.02, MSE 72.58 
MAE 21.95, MSE 71.79 
MAE 21.20, MSE 72.44 
MAE 19.12, MSE 69.58 
MAE 21.83, MSE 73.75 
MAE 22.20, MSE 75.77 
MAE 19.29, MSE 70.67 
MAE 22.37, MSE 79.10 
MAE 19.75, MSE 72.89 
MAE 18.46, MSE 67.27 
MAE 24.19, MSE 81.20 
MAE 19.56, MSE 71.37 
MAE 18.10, MSE 66.17 
MAE 20.36, MSE 76.25 
MAE 21.54, MSE 77.79 
MAE 20.25, MSE 72.49 
MAE 19.67, MSE 73.20 
MAE 20.54, MSE 70.00 
MAE 21.15, MSE 71.99 
MAE 20.91, MSE 71.51 
MAE 19.73, MSE 71.01 
MAE 21.88, MSE 71.97 
MAE 19.83, MSE 74.08 
MAE 21.15, MSE 80.23 
MAE 20.52, MSE 71.84 
MAE 20.70, MSE 75.09 
MAE 19.29, MSE 73.79 
MAE 20.29, MSE 73.01 
MAE 19.70, MSE 72.21 
MAE 24.22, MSE 74.68 
MAE 23.83, MSE 79.32 
MAE 20.30, MSE 75.21 
MAE 19.49, MSE 73.24 
MAE 22.22, MSE 72.61 
MAE 21.09, MSE 76.10 
MAE 20.25, MSE 71.81 
MAE 19.28, MSE 70.00 
MAE 19.54, MSE 71.21 
MAE 20.00, MSE 73.37 
MAE 22.88, MSE 71.43 
MAE 21.97, MSE 73.43 
MAE 21.70, MSE 78.94 
MAE 19.55, MSE 72.14 
MAE 19.02, MSE 68.09 
MAE 21.85, MSE 76.04 
MAE 21.01, MSE 76.39 
MAE 22.32, MSE 75.11 
MAE 21.38, MSE 78.72 
MAE 18.83, MSE 66.72 
MAE 23.48, MSE 76.93 
MAE 18.63, MSE 68.51 
MAE 20.59, MSE 75.87 
MAE 23.16, MSE 79.25 
MAE 21.03, MSE 74.61 
MAE 18.97, MSE 72.11 
MAE 20.63, MSE 73.26 
MAE 20.01, MSE 72.79 
MAE 20.18, MSE 75.79 
MAE 20.39, MSE 72.95 
MAE 19.60, MSE 73.08 
MAE 23.36, MSE 78.94 
MAE 20.79, MSE 76.23 
MAE 19.92, MSE 72.34 
MAE 19.74, MSE 71.70 
MAE 20.27, MSE 72.62 
MAE 24.46, MSE 77.04 
MAE 22.03, MSE 73.94 
MAE 19.23, MSE 71.51 
MAE 18.78, MSE 69.83 
MAE 20.79, MSE 73.58 
MAE 20.86, MSE 78.47 
MAE 20.00, MSE 74.93 
MAE 19.53, MSE 73.31 
MAE 18.79, MSE 69.84 
MAE 20.49, MSE 76.91 
MAE 19.74, MSE 73.50 
MAE 22.28, MSE 72.33 
MAE 19.99, MSE 72.99 
MAE 20.84, MSE 74.40 
MAE 19.68, MSE 73.49 
MAE 21.66, MSE 74.79 
MAE 23.24, MSE 84.19 
MAE 21.77, MSE 74.51 
MAE 19.34, MSE 71.47 
MAE 21.55, MSE 78.86 
MAE 19.13, MSE 72.13 
MAE 19.84, MSE 74.28 
MAE 19.95, MSE 72.80 
MAE 18.28, MSE 69.04 
MAE 20.54, MSE 73.76 
MAE 21.36, MSE 74.99 
MAE 19.02, MSE 71.93 
MAE 18.20, MSE 67.01 
MAE 20.72, MSE 76.14 
MAE 19.72, MSE 72.67 
MAE 23.49, MSE 76.57 
MAE 21.41, MSE 77.83 
MAE 20.52, MSE 73.94 
MAE 19.49, MSE 73.39 
MAE 22.03, MSE 76.52 
MAE 21.39, MSE 74.83 
MAE 21.26, MSE 76.82 
MAE 19.68, MSE 73.59 
MAE 21.11, MSE 75.76 
MAE 20.03, MSE 73.59 
MAE 19.87, MSE 73.99 
MAE 22.17, MSE 75.88 
MAE 20.74, MSE 76.78 
MAE 21.44, MSE 77.86 
MAE 21.53, MSE 77.99 
MAE 22.80, MSE 76.46 
