Epoch 1: loss 0.00000811, MAE 36.13, MSE 102.87, Best MAE 36.13, Best MSE 102.87 
Epoch 2: loss 0.00000542, MAE 31.97, MSE 89.68, Best MAE 31.97, Best MSE 89.68 
Epoch 3: loss 0.00000410, MAE 30.97, MSE 88.78, Best MAE 30.97, Best MSE 88.78 
Epoch 4: loss 0.00000302, MAE 42.42, MSE 94.91, Best MAE 30.97, Best MSE 88.78 
Epoch 5: loss 0.00000226, MAE 29.74, MSE 91.83, Best MAE 29.74, Best MSE 91.83 
Epoch 6: loss 0.00000195, MAE 29.91, MSE 92.17, Best MAE 29.74, Best MSE 91.83 
Epoch 7: loss 0.00000179, MAE 33.85, MSE 97.80, Best MAE 29.74, Best MSE 91.83 
Epoch 8: loss 0.00000180, MAE 26.80, MSE 82.24, Best MAE 26.80, Best MSE 82.24 
Epoch 9: loss 0.00000173, MAE 26.51, MSE 79.22, Best MAE 26.51, Best MSE 79.22 
Epoch 10: loss 0.00000177, MAE 28.06, MSE 86.00, Best MAE 26.51, Best MSE 79.22 
Epoch 11: loss 0.00000181, MAE 32.11, MSE 88.56, Best MAE 26.51, Best MSE 79.22 
Epoch 12: loss 0.00000182, MAE 28.77, MSE 82.41, Best MAE 26.51, Best MSE 79.22 
Epoch 13: loss 0.00000167, MAE 26.38, MSE 76.36, Best MAE 26.38, Best MSE 76.36 
Epoch 14: loss 0.00000159, MAE 23.05, MSE 68.68, Best MAE 23.05, Best MSE 68.68 
Epoch 15: loss 0.00000161, MAE 24.87, MSE 74.36, Best MAE 23.05, Best MSE 68.68 
Epoch 16: loss 0.00000160, MAE 31.31, MSE 73.16, Best MAE 23.05, Best MSE 68.68 
Epoch 17: loss 0.00000156, MAE 27.58, MSE 86.99, Best MAE 23.05, Best MSE 68.68 
Epoch 18: loss 0.00000153, MAE 24.55, MSE 74.19, Best MAE 23.05, Best MSE 68.68 
Epoch 19: loss 0.00000154, MAE 22.53, MSE 67.19, Best MAE 22.53, Best MSE 67.19 
Epoch 20: loss 0.00000149, MAE 28.98, MSE 82.52, Best MAE 22.53, Best MSE 67.19 
Epoch 21: loss 0.00000147, MAE 21.83, MSE 66.04, Best MAE 21.83, Best MSE 66.04 
Epoch 22: loss 0.00000148, MAE 22.88, MSE 61.13, Best MAE 21.83, Best MSE 66.04 
Epoch 23: loss 0.00000143, MAE 24.93, MSE 76.47, Best MAE 21.83, Best MSE 66.04 
Epoch 24: loss 0.00000133, MAE 23.46, MSE 74.21, Best MAE 21.83, Best MSE 66.04 
Epoch 25: loss 0.00000138, MAE 25.95, MSE 66.76, Best MAE 21.83, Best MSE 66.04 
Epoch 26: loss 0.00000134, MAE 27.49, MSE 77.56, Best MAE 21.83, Best MSE 66.04 
Epoch 27: loss 0.00000133, MAE 19.21, MSE 55.71, Best MAE 19.21, Best MSE 55.71 
Epoch 28: loss 0.00000135, MAE 19.80, MSE 59.78, Best MAE 19.21, Best MSE 55.71 
Epoch 29: loss 0.00000172, MAE 25.06, MSE 73.96, Best MAE 19.21, Best MSE 55.71 
Epoch 30: loss 0.00000164, MAE 22.91, MSE 70.29, Best MAE 19.21, Best MSE 55.71 
Epoch 31: loss 0.00000149, MAE 23.46, MSE 72.66, Best MAE 19.21, Best MSE 55.71 
Epoch 32: loss 0.00000142, MAE 25.16, MSE 78.71, Best MAE 19.21, Best MSE 55.71 
Epoch 33: loss 0.00000138, MAE 21.69, MSE 70.98, Best MAE 19.21, Best MSE 55.71 
Epoch 34: loss 0.00000137, MAE 20.85, MSE 68.11, Best MAE 19.21, Best MSE 55.71 
Epoch 35: loss 0.00000132, MAE 21.74, MSE 67.90, Best MAE 19.21, Best MSE 55.71 
Epoch 36: loss 0.00000138, MAE 22.60, MSE 71.14, Best MAE 19.21, Best MSE 55.71 
Epoch 37: loss 0.00000132, MAE 20.62, MSE 66.49, Best MAE 19.21, Best MSE 55.71 
Epoch 38: loss 0.00000138, MAE 20.80, MSE 64.53, Best MAE 19.21, Best MSE 55.71 
Epoch 39: loss 0.00000135, MAE 23.22, MSE 67.31, Best MAE 19.21, Best MSE 55.71 
Epoch 40: loss 0.00000132, MAE 20.17, MSE 66.66, Best MAE 19.21, Best MSE 55.71 
Epoch 41: loss 0.00000132, MAE 19.94, MSE 65.47, Best MAE 19.21, Best MSE 55.71 
Epoch 42: loss 0.00000134, MAE 19.91, MSE 66.09, Best MAE 19.21, Best MSE 55.71 
Epoch 43: loss 0.00000129, MAE 20.56, MSE 69.60, Best MAE 19.21, Best MSE 55.71 
Epoch 44: loss 0.00000127, MAE 20.58, MSE 64.87, Best MAE 19.21, Best MSE 55.71 
