MAE 36.13, MSE 102.87 
MAE 31.97, MSE 89.68 
MAE 30.97, MSE 88.78 
MAE 42.42, MSE 94.91 
MAE 29.74, MSE 91.83 
MAE 29.91, MSE 92.17 
MAE 33.85, MSE 97.80 
MAE 26.80, MSE 82.24 
MAE 26.51, MSE 79.22 
MAE 28.06, MSE 86.00 
MAE 32.11, MSE 88.56 
MAE 28.77, MSE 82.41 
MAE 26.38, MSE 76.36 
MAE 23.05, MSE 68.68 
MAE 24.87, MSE 74.36 
MAE 31.31, MSE 73.16 
MAE 27.58, MSE 86.99 
MAE 24.55, MSE 74.19 
MAE 22.53, MSE 67.19 
MAE 28.98, MSE 82.52 
MAE 21.83, MSE 66.04 
MAE 22.88, MSE 61.13 
MAE 24.93, MSE 76.47 
MAE 23.46, MSE 74.21 
MAE 25.95, MSE 66.76 
MAE 27.49, MSE 77.56 
MAE 19.21, MSE 55.71 
MAE 19.80, MSE 59.78 
MAE 25.06, MSE 73.96 
MAE 22.91, MSE 70.29 
MAE 23.46, MSE 72.66 
MAE 25.16, MSE 78.71 
MAE 21.69, MSE 70.98 
MAE 20.85, MSE 68.11 
MAE 21.74, MSE 67.90 
MAE 22.60, MSE 71.14 
MAE 20.62, MSE 66.49 
MAE 20.80, MSE 64.53 
MAE 23.22, MSE 67.31 
MAE 20.17, MSE 66.66 
MAE 19.94, MSE 65.47 
MAE 19.91, MSE 66.09 
MAE 20.56, MSE 69.60 
MAE 20.58, MSE 64.87 
MAE 23.03, MSE 69.83 
MAE 19.58, MSE 63.38 
MAE 18.37, MSE 58.96 
MAE 17.92, MSE 55.60 
MAE 27.01, MSE 84.89 
MAE 24.47, MSE 65.88 
MAE 22.92, MSE 71.69 
MAE 19.05, MSE 63.01 
MAE 22.14, MSE 72.36 
MAE 21.16, MSE 70.91 
MAE 20.48, MSE 68.58 
MAE 21.14, MSE 67.55 
MAE 23.66, MSE 72.02 
MAE 22.00, MSE 72.38 
MAE 21.63, MSE 71.92 
MAE 20.65, MSE 66.55 
MAE 21.64, MSE 67.60 
MAE 24.27, MSE 71.86 
MAE 18.16, MSE 59.94 
MAE 20.82, MSE 70.69 
MAE 23.26, MSE 69.78 
MAE 24.20, MSE 68.29 
MAE 18.82, MSE 60.74 
MAE 18.62, MSE 58.60 
MAE 20.15, MSE 68.65 
MAE 20.24, MSE 66.18 
MAE 21.51, MSE 64.99 
MAE 19.93, MSE 65.25 
MAE 19.29, MSE 65.54 
MAE 22.30, MSE 65.16 
MAE 21.59, MSE 69.71 
MAE 26.26, MSE 71.75 
MAE 19.31, MSE 64.50 
MAE 20.60, MSE 70.32 
MAE 22.14, MSE 69.21 
MAE 26.09, MSE 73.06 
MAE 22.30, MSE 69.50 
MAE 22.02, MSE 75.02 
MAE 19.71, MSE 68.57 
MAE 22.48, MSE 69.85 
MAE 22.19, MSE 65.30 
MAE 19.96, MSE 64.95 
MAE 21.25, MSE 67.32 
MAE 19.47, MSE 71.85 
MAE 21.17, MSE 68.36 
MAE 21.16, MSE 75.40 
MAE 19.66, MSE 68.25 
MAE 17.27, MSE 59.66 
MAE 22.90, MSE 67.97 
MAE 19.53, MSE 66.39 
MAE 26.57, MSE 83.36 
MAE 23.20, MSE 83.60 
MAE 21.38, MSE 67.03 
MAE 16.85, MSE 56.67 
MAE 21.69, MSE 75.05 
MAE 18.29, MSE 65.91 
MAE 18.42, MSE 63.54 
MAE 19.34, MSE 64.49 
MAE 22.60, MSE 68.08 
MAE 20.01, MSE 70.50 
MAE 19.91, MSE 68.12 
MAE 18.89, MSE 63.59 
MAE 22.26, MSE 70.33 
MAE 25.88, MSE 79.95 
MAE 17.66, MSE 59.77 
MAE 22.31, MSE 70.41 
MAE 17.78, MSE 62.62 
MAE 20.54, MSE 66.57 
MAE 21.23, MSE 68.82 
MAE 17.58, MSE 62.17 
MAE 23.26, MSE 74.00 
MAE 21.58, MSE 76.80 
MAE 19.26, MSE 66.39 
MAE 17.64, MSE 62.67 
MAE 20.60, MSE 67.20 
MAE 18.58, MSE 66.09 
MAE 20.33, MSE 66.60 
MAE 19.41, MSE 64.49 
MAE 18.56, MSE 67.79 
MAE 19.07, MSE 66.99 
MAE 20.19, MSE 70.97 
MAE 21.17, MSE 67.73 
MAE 19.86, MSE 67.24 
MAE 23.51, MSE 75.19 
MAE 20.22, MSE 70.18 
MAE 18.78, MSE 66.07 
MAE 18.75, MSE 62.77 
MAE 23.44, MSE 61.01 
MAE 19.32, MSE 63.08 
MAE 18.33, MSE 66.27 
MAE 18.81, MSE 67.14 
MAE 20.71, MSE 67.54 
MAE 17.83, MSE 62.49 
MAE 22.04, MSE 73.70 
MAE 18.00, MSE 62.92 
MAE 18.47, MSE 65.12 
MAE 23.86, MSE 81.75 
MAE 18.50, MSE 65.11 
MAE 20.02, MSE 68.01 
MAE 22.47, MSE 72.66 
MAE 18.60, MSE 65.80 
MAE 19.73, MSE 68.32 
MAE 19.94, MSE 68.37 
MAE 19.95, MSE 70.12 
MAE 20.86, MSE 66.50 
MAE 22.55, MSE 69.00 
MAE 16.22, MSE 52.89 
MAE 24.63, MSE 89.46 
MAE 18.14, MSE 66.79 
MAE 18.67, MSE 71.26 
MAE 18.63, MSE 66.80 
MAE 18.70, MSE 68.83 
MAE 19.22, MSE 69.18 
MAE 20.49, MSE 69.74 
MAE 17.81, MSE 64.57 
