Epoch 1: loss 0.00001914, MAE 42.61, MSE 120.59, Best MAE 42.61, Best MSE 120.59 
Epoch 2: loss 0.00000918, MAE 36.90, MSE 108.25, Best MAE 36.90, Best MSE 108.25 
Epoch 3: loss 0.00000661, MAE 41.40, MSE 110.03, Best MAE 36.90, Best MSE 108.25 
Epoch 4: loss 0.00000498, MAE 34.20, MSE 99.76, Best MAE 34.20, Best MSE 99.76 
Epoch 5: loss 0.00000396, MAE 34.17, MSE 98.44, Best MAE 34.17, Best MSE 98.44 
Epoch 6: loss 0.00000323, MAE 34.60, MSE 98.02, Best MAE 34.17, Best MSE 98.44 
Epoch 7: loss 0.00000267, MAE 33.89, MSE 91.31, Best MAE 33.89, Best MSE 91.31 
Epoch 8: loss 0.00000232, MAE 37.25, MSE 100.40, Best MAE 33.89, Best MSE 91.31 
Epoch 9: loss 0.00000217, MAE 32.80, MSE 94.31, Best MAE 32.80, Best MSE 94.31 
Epoch 10: loss 0.00000192, MAE 31.58, MSE 91.84, Best MAE 31.58, Best MSE 91.84 
Epoch 11: loss 0.00000183, MAE 32.08, MSE 92.82, Best MAE 31.58, Best MSE 91.84 
Epoch 12: loss 0.00000182, MAE 30.84, MSE 83.11, Best MAE 30.84, Best MSE 83.11 
Epoch 13: loss 0.00000178, MAE 38.97, MSE 95.99, Best MAE 30.84, Best MSE 83.11 
Epoch 14: loss 0.00000174, MAE 32.01, MSE 92.12, Best MAE 30.84, Best MSE 83.11 
Epoch 15: loss 0.00000171, MAE 32.74, MSE 91.85, Best MAE 30.84, Best MSE 83.11 
Epoch 16: loss 0.00000169, MAE 30.77, MSE 85.56, Best MAE 30.77, Best MSE 85.56 
Epoch 17: loss 0.00000172, MAE 32.59, MSE 95.00, Best MAE 30.77, Best MSE 85.56 
Epoch 18: loss 0.00000157, MAE 34.52, MSE 79.55, Best MAE 30.77, Best MSE 85.56 
Epoch 19: loss 0.00000152, MAE 27.92, MSE 83.43, Best MAE 27.92, Best MSE 83.43 
Epoch 20: loss 0.00000150, MAE 29.76, MSE 90.47, Best MAE 27.92, Best MSE 83.43 
Epoch 21: loss 0.00000136, MAE 31.37, MSE 88.85, Best MAE 27.92, Best MSE 83.43 
Epoch 22: loss 0.00000131, MAE 27.74, MSE 84.25, Best MAE 27.74, Best MSE 84.25 
Epoch 23: loss 0.00000155, MAE 28.54, MSE 86.59, Best MAE 27.74, Best MSE 84.25 
Epoch 24: loss 0.00000149, MAE 31.50, MSE 95.07, Best MAE 27.74, Best MSE 84.25 
Epoch 25: loss 0.00000155, MAE 28.07, MSE 86.31, Best MAE 27.74, Best MSE 84.25 
Epoch 26: loss 0.00000146, MAE 29.57, MSE 77.33, Best MAE 27.74, Best MSE 84.25 
Epoch 27: loss 0.00000142, MAE 29.02, MSE 91.08, Best MAE 27.74, Best MSE 84.25 
Epoch 28: loss 0.00000130, MAE 27.90, MSE 86.35, Best MAE 27.74, Best MSE 84.25 
Epoch 29: loss 0.00000122, MAE 29.06, MSE 90.96, Best MAE 27.74, Best MSE 84.25 
Epoch 30: loss 0.00000118, MAE 25.91, MSE 82.52, Best MAE 25.91, Best MSE 82.52 
Epoch 31: loss 0.00000129, MAE 37.38, MSE 96.60, Best MAE 25.91, Best MSE 82.52 
Epoch 32: loss 0.00000103, MAE 34.51, MSE 74.77, Best MAE 25.91, Best MSE 82.52 
Epoch 33: loss 0.00000118, MAE 30.68, MSE 91.32, Best MAE 25.91, Best MSE 82.52 
Epoch 34: loss 0.00000105, MAE 25.63, MSE 75.16, Best MAE 25.63, Best MSE 75.16 
Epoch 35: loss 0.00000097, MAE 26.10, MSE 85.05, Best MAE 25.63, Best MSE 75.16 
Epoch 36: loss 0.00000087, MAE 26.16, MSE 84.49, Best MAE 25.63, Best MSE 75.16 
