MAE 42.61, MSE 120.59 
MAE 36.90, MSE 108.25 
MAE 41.40, MSE 110.03 
MAE 34.20, MSE 99.76 
MAE 34.17, MSE 98.44 
MAE 34.60, MSE 98.02 
MAE 33.89, MSE 91.31 
MAE 37.25, MSE 100.40 
MAE 32.80, MSE 94.31 
MAE 31.58, MSE 91.84 
MAE 32.08, MSE 92.82 
MAE 30.84, MSE 83.11 
MAE 38.97, MSE 95.99 
MAE 32.01, MSE 92.12 
MAE 32.74, MSE 91.85 
MAE 30.77, MSE 85.56 
MAE 32.59, MSE 95.00 
MAE 34.52, MSE 79.55 
MAE 27.92, MSE 83.43 
MAE 29.76, MSE 90.47 
MAE 31.37, MSE 88.85 
MAE 27.74, MSE 84.25 
MAE 28.54, MSE 86.59 
MAE 31.50, MSE 95.07 
MAE 28.07, MSE 86.31 
MAE 29.57, MSE 77.33 
MAE 29.02, MSE 91.08 
MAE 27.90, MSE 86.35 
MAE 29.06, MSE 90.96 
MAE 25.91, MSE 82.52 
MAE 37.38, MSE 96.60 
MAE 34.51, MSE 74.77 
MAE 30.68, MSE 91.32 
MAE 25.63, MSE 75.16 
MAE 26.10, MSE 85.05 
MAE 26.16, MSE 84.49 
MAE 27.74, MSE 90.83 
MAE 32.31, MSE 96.12 
MAE 23.76, MSE 74.22 
MAE 27.81, MSE 89.80 
MAE 23.98, MSE 78.27 
MAE 30.33, MSE 82.86 
MAE 26.43, MSE 83.94 
MAE 24.46, MSE 80.09 
MAE 26.58, MSE 81.35 
MAE 26.75, MSE 87.76 
MAE 23.31, MSE 74.50 
MAE 41.93, MSE 73.77 
MAE 23.92, MSE 76.66 
MAE 31.74, MSE 91.32 
MAE 24.82, MSE 77.50 
MAE 26.54, MSE 88.62 
MAE 28.00, MSE 86.64 
MAE 23.52, MSE 77.96 
MAE 26.54, MSE 82.30 
MAE 23.10, MSE 77.48 
MAE 24.77, MSE 81.62 
MAE 25.53, MSE 83.38 
MAE 24.73, MSE 83.68 
MAE 24.88, MSE 79.92 
MAE 23.48, MSE 77.41 
MAE 28.38, MSE 92.58 
MAE 29.66, MSE 87.40 
MAE 23.82, MSE 78.09 
MAE 24.01, MSE 81.36 
MAE 24.75, MSE 81.45 
MAE 28.58, MSE 89.28 
MAE 24.27, MSE 82.08 
MAE 25.16, MSE 88.15 
MAE 24.14, MSE 84.81 
MAE 23.62, MSE 81.98 
MAE 25.15, MSE 87.85 
MAE 27.46, MSE 86.42 
MAE 25.27, MSE 86.73 
MAE 27.31, MSE 82.67 
MAE 26.33, MSE 90.49 
MAE 24.49, MSE 84.40 
MAE 25.08, MSE 82.75 
MAE 26.47, MSE 88.66 
MAE 24.08, MSE 82.13 
MAE 26.58, MSE 87.61 
MAE 23.00, MSE 79.23 
MAE 27.38, MSE 94.64 
MAE 27.46, MSE 90.63 
MAE 26.83, MSE 93.13 
MAE 25.46, MSE 88.92 
MAE 24.12, MSE 84.76 
MAE 24.02, MSE 82.66 
MAE 36.53, MSE 100.18 
MAE 29.15, MSE 86.47 
MAE 31.00, MSE 94.98 
MAE 24.89, MSE 86.33 
MAE 26.37, MSE 89.51 
MAE 28.94, MSE 92.35 
MAE 23.13, MSE 81.07 
MAE 23.85, MSE 85.41 
MAE 26.90, MSE 90.55 
MAE 27.78, MSE 90.54 
MAE 22.30, MSE 78.05 
MAE 25.80, MSE 89.37 
MAE 25.81, MSE 90.83 
MAE 24.35, MSE 85.43 
MAE 27.42, MSE 89.84 
MAE 24.07, MSE 87.74 
MAE 27.05, MSE 90.51 
MAE 25.41, MSE 88.06 
MAE 28.38, MSE 84.63 
MAE 23.94, MSE 84.11 
MAE 26.33, MSE 79.81 
MAE 25.67, MSE 91.24 
MAE 25.43, MSE 88.90 
MAE 26.53, MSE 89.53 
MAE 23.33, MSE 78.87 
MAE 25.74, MSE 89.25 
MAE 23.04, MSE 77.90 
MAE 26.06, MSE 91.79 
MAE 25.68, MSE 90.91 
MAE 26.57, MSE 92.01 
MAE 27.87, MSE 90.41 
MAE 24.21, MSE 87.64 
MAE 24.61, MSE 86.59 
MAE 24.51, MSE 85.53 
MAE 28.76, MSE 92.50 
MAE 40.47, MSE 100.58 
MAE 31.88, MSE 99.47 
MAE 24.03, MSE 86.66 
MAE 26.58, MSE 88.67 
MAE 23.46, MSE 86.15 
MAE 22.88, MSE 80.18 
MAE 27.33, MSE 94.96 
MAE 24.29, MSE 82.78 
MAE 27.45, MSE 93.28 
MAE 24.76, MSE 87.16 
MAE 24.47, MSE 88.09 
MAE 23.70, MSE 84.84 
MAE 24.06, MSE 86.69 
MAE 23.92, MSE 85.17 
MAE 27.48, MSE 90.69 
MAE 24.95, MSE 88.96 
MAE 22.99, MSE 81.89 
MAE 27.33, MSE 93.05 
MAE 24.59, MSE 87.23 
MAE 26.15, MSE 91.31 
MAE 25.40, MSE 85.03 
MAE 23.45, MSE 85.29 
MAE 25.73, MSE 91.56 
MAE 25.22, MSE 87.91 
MAE 26.73, MSE 93.43 
MAE 48.42, MSE 121.24 
MAE 28.06, MSE 97.77 
MAE 27.79, MSE 93.02 
MAE 25.87, MSE 91.68 
MAE 26.92, MSE 98.65 
MAE 27.53, MSE 96.29 
MAE 28.15, MSE 98.57 
MAE 24.78, MSE 89.00 
MAE 26.91, MSE 91.64 
MAE 24.84, MSE 90.70 
MAE 24.62, MSE 88.70 
MAE 25.82, MSE 90.32 
MAE 24.00, MSE 86.70 
MAE 23.88, MSE 86.90 
MAE 24.48, MSE 87.94 
MAE 23.88, MSE 86.20 
MAE 27.11, MSE 92.55 
MAE 24.62, MSE 88.33 
