Epoch 1: loss 0.00000190, MAE 38.74, MSE 95.32, Best MAE 38.74, Best MSE 95.32 
Epoch 2: loss 0.00000183, MAE 30.47, MSE 71.42, Best MAE 30.47, Best MSE 71.42 
Epoch 3: loss 0.00000182, MAE 28.21, MSE 76.95, Best MAE 28.21, Best MSE 76.95 
Epoch 4: loss 0.00000178, MAE 34.44, MSE 87.58, Best MAE 28.21, Best MSE 76.95 
Epoch 5: loss 0.00000177, MAE 30.27, MSE 67.68, Best MAE 28.21, Best MSE 76.95 
Epoch 6: loss 0.00000170, MAE 35.80, MSE 90.62, Best MAE 28.21, Best MSE 76.95 
Epoch 7: loss 0.00000171, MAE 27.43, MSE 79.94, Best MAE 27.43, Best MSE 79.94 
Epoch 8: loss 0.00000169, MAE 21.53, MSE 59.80, Best MAE 21.53, Best MSE 59.80 
Epoch 9: loss 0.00000173, MAE 27.33, MSE 88.33, Best MAE 21.53, Best MSE 59.80 
Epoch 10: loss 0.00000168, MAE 25.58, MSE 79.99, Best MAE 21.53, Best MSE 59.80 
Epoch 11: loss 0.00000166, MAE 23.62, MSE 74.87, Best MAE 21.53, Best MSE 59.80 
Epoch 12: loss 0.00000164, MAE 32.46, MSE 107.72, Best MAE 21.53, Best MSE 59.80 
Epoch 13: loss 0.00000164, MAE 25.49, MSE 72.12, Best MAE 21.53, Best MSE 59.80 
Epoch 14: loss 0.00000162, MAE 23.31, MSE 67.41, Best MAE 21.53, Best MSE 59.80 
Epoch 15: loss 0.00000164, MAE 30.45, MSE 70.32, Best MAE 21.53, Best MSE 59.80 
Epoch 16: loss 0.00000164, MAE 21.06, MSE 63.28, Best MAE 21.06, Best MSE 63.28 
Epoch 17: loss 0.00000162, MAE 21.64, MSE 69.64, Best MAE 21.06, Best MSE 63.28 
Epoch 18: loss 0.00000162, MAE 25.78, MSE 72.34, Best MAE 21.06, Best MSE 63.28 
Epoch 19: loss 0.00000163, MAE 20.58, MSE 65.37, Best MAE 20.58, Best MSE 65.37 
