MAE 38.74, MSE 95.32 
MAE 30.47, MSE 71.42 
MAE 28.21, MSE 76.95 
MAE 34.44, MSE 87.58 
MAE 30.27, MSE 67.68 
MAE 35.80, MSE 90.62 
MAE 27.43, MSE 79.94 
MAE 21.53, MSE 59.80 
MAE 27.33, MSE 88.33 
MAE 25.58, MSE 79.99 
MAE 23.62, MSE 74.87 
MAE 32.46, MSE 107.72 
MAE 25.49, MSE 72.12 
MAE 23.31, MSE 67.41 
MAE 30.45, MSE 70.32 
MAE 21.06, MSE 63.28 
MAE 21.64, MSE 69.64 
MAE 25.78, MSE 72.34 
MAE 20.58, MSE 65.37 
MAE 25.01, MSE 79.67 
MAE 21.09, MSE 64.87 
MAE 20.39, MSE 66.34 
MAE 22.39, MSE 73.41 
MAE 24.73, MSE 76.46 
MAE 21.92, MSE 71.42 
MAE 22.55, MSE 73.37 
MAE 24.23, MSE 72.80 
MAE 20.34, MSE 67.05 
MAE 23.41, MSE 67.25 
MAE 21.57, MSE 69.86 
MAE 23.81, MSE 74.87 
MAE 25.37, MSE 79.34 
MAE 22.90, MSE 68.08 
MAE 21.09, MSE 60.56 
MAE 27.77, MSE 89.00 
MAE 19.35, MSE 60.09 
MAE 21.06, MSE 67.70 
MAE 20.17, MSE 63.56 
MAE 21.03, MSE 65.44 
MAE 22.43, MSE 68.59 
MAE 23.62, MSE 76.06 
MAE 23.45, MSE 72.85 
MAE 21.05, MSE 71.08 
MAE 22.96, MSE 68.38 
MAE 19.86, MSE 63.17 
MAE 22.07, MSE 67.86 
MAE 19.07, MSE 62.53 
MAE 21.43, MSE 71.22 
MAE 20.85, MSE 68.27 
MAE 20.89, MSE 68.41 
MAE 24.00, MSE 80.96 
MAE 18.48, MSE 58.62 
MAE 21.01, MSE 72.35 
MAE 20.48, MSE 62.01 
MAE 22.17, MSE 71.16 
MAE 20.29, MSE 65.25 
MAE 22.28, MSE 74.23 
MAE 27.15, MSE 67.51 
MAE 20.53, MSE 65.88 
MAE 19.29, MSE 61.71 
MAE 20.66, MSE 66.24 
MAE 19.99, MSE 63.97 
MAE 20.54, MSE 70.60 
MAE 22.26, MSE 67.78 
MAE 20.51, MSE 69.95 
MAE 21.53, MSE 68.25 
MAE 22.20, MSE 71.98 
MAE 21.67, MSE 71.12 
MAE 19.92, MSE 66.79 
MAE 20.85, MSE 70.58 
MAE 22.60, MSE 72.20 
MAE 20.75, MSE 67.80 
MAE 18.76, MSE 62.16 
MAE 24.10, MSE 74.14 
MAE 23.73, MSE 71.18 
MAE 21.86, MSE 65.06 
MAE 19.98, MSE 66.70 
MAE 21.40, MSE 69.27 
MAE 21.27, MSE 70.93 
MAE 21.60, MSE 71.26 
MAE 21.67, MSE 70.39 
MAE 18.77, MSE 57.11 
MAE 19.65, MSE 56.98 
MAE 19.70, MSE 64.73 
MAE 19.26, MSE 60.63 
MAE 18.69, MSE 60.98 
MAE 20.89, MSE 61.77 
MAE 24.71, MSE 75.26 
MAE 20.18, MSE 67.49 
MAE 19.50, MSE 63.28 
MAE 19.27, MSE 65.68 
MAE 19.09, MSE 63.85 
MAE 19.54, MSE 62.06 
MAE 19.62, MSE 64.94 
MAE 20.54, MSE 65.81 
MAE 23.04, MSE 68.53 
MAE 18.92, MSE 61.09 
MAE 21.24, MSE 75.09 
MAE 23.17, MSE 74.21 
MAE 19.86, MSE 67.50 
MAE 19.27, MSE 63.56 
MAE 20.27, MSE 65.88 
MAE 18.92, MSE 63.43 
MAE 21.44, MSE 67.60 
MAE 19.98, MSE 63.80 
MAE 29.37, MSE 82.25 
MAE 20.42, MSE 64.82 
MAE 19.42, MSE 66.12 
MAE 23.82, MSE 68.46 
MAE 18.74, MSE 60.88 
MAE 20.18, MSE 67.08 
MAE 19.02, MSE 64.20 
MAE 19.94, MSE 67.26 
MAE 19.16, MSE 65.18 
MAE 20.60, MSE 70.29 
MAE 18.97, MSE 62.99 
MAE 23.62, MSE 67.53 
MAE 18.57, MSE 61.51 
MAE 21.17, MSE 67.23 
MAE 20.49, MSE 71.75 
MAE 18.48, MSE 62.35 
MAE 18.54, MSE 61.82 
MAE 19.65, MSE 65.12 
MAE 19.58, MSE 68.57 
MAE 19.56, MSE 65.31 
MAE 17.76, MSE 60.19 
MAE 20.53, MSE 61.50 
MAE 19.03, MSE 63.96 
MAE 19.76, MSE 66.22 
MAE 19.67, MSE 67.21 
MAE 17.92, MSE 60.07 
MAE 19.77, MSE 64.71 
MAE 18.90, MSE 58.62 
MAE 18.24, MSE 60.66 
MAE 18.99, MSE 64.69 
MAE 19.69, MSE 65.12 
MAE 20.24, MSE 62.16 
MAE 18.72, MSE 65.11 
MAE 20.39, MSE 65.67 
MAE 19.40, MSE 61.38 
MAE 18.81, MSE 61.89 
MAE 18.81, MSE 64.15 
MAE 21.25, MSE 66.90 
MAE 19.34, MSE 63.55 
MAE 18.33, MSE 61.69 
MAE 18.08, MSE 61.24 
MAE 17.79, MSE 60.78 
MAE 18.75, MSE 62.80 
MAE 19.65, MSE 57.14 
MAE 19.23, MSE 59.21 
MAE 18.53, MSE 63.13 
MAE 18.35, MSE 62.20 
MAE 18.30, MSE 62.92 
MAE 19.52, MSE 63.29 
MAE 18.77, MSE 63.05 
MAE 17.87, MSE 60.41 
MAE 19.56, MSE 64.16 
MAE 18.68, MSE 63.40 
MAE 18.71, MSE 62.52 
MAE 18.36, MSE 62.50 
MAE 17.76, MSE 57.11 
MAE 22.03, MSE 72.38 
MAE 18.60, MSE 63.49 
MAE 19.53, MSE 60.53 
MAE 19.17, MSE 65.02 
MAE 18.03, MSE 61.99 
MAE 18.04, MSE 60.14 
MAE 19.78, MSE 64.43 
MAE 19.10, MSE 61.63 
MAE 18.64, MSE 63.43 
MAE 18.96, MSE 64.36 
MAE 19.71, MSE 64.38 
MAE 18.99, MSE 61.47 
MAE 18.08, MSE 60.49 
MAE 17.30, MSE 54.78 
MAE 18.59, MSE 63.01 
MAE 20.66, MSE 62.28 
MAE 21.20, MSE 66.02 
MAE 18.44, MSE 60.07 
MAE 18.57, MSE 61.63 
MAE 18.43, MSE 61.19 
MAE 19.12, MSE 65.76 
MAE 18.74, MSE 61.12 
MAE 18.74, MSE 63.85 
MAE 18.43, MSE 62.13 
MAE 19.18, MSE 61.84 
MAE 19.08, MSE 62.51 
MAE 21.60, MSE 64.11 
MAE 18.72, MSE 61.80 
MAE 19.23, MSE 61.80 
MAE 17.70, MSE 59.74 
MAE 21.84, MSE 59.60 
MAE 17.95, MSE 60.29 
MAE 17.80, MSE 59.95 
MAE 17.83, MSE 60.89 
MAE 18.39, MSE 61.36 
MAE 19.40, MSE 61.57 
MAE 18.74, MSE 63.71 
MAE 18.65, MSE 62.78 
MAE 18.91, MSE 62.21 
MAE 18.74, MSE 61.48 
MAE 19.13, MSE 61.08 
MAE 19.79, MSE 61.92 
MAE 19.08, MSE 65.55 
MAE 18.13, MSE 60.95 
MAE 18.85, MSE 61.20 
MAE 19.47, MSE 63.50 
MAE 19.34, MSE 65.73 
MAE 18.19, MSE 62.42 
MAE 19.01, MSE 65.15 
MAE 18.10, MSE 61.74 
MAE 18.38, MSE 59.38 
MAE 17.94, MSE 59.53 
MAE 21.48, MSE 71.77 
MAE 17.81, MSE 60.93 
MAE 17.41, MSE 57.99 
MAE 18.95, MSE 64.59 
MAE 19.16, MSE 65.06 
MAE 18.21, MSE 62.71 
MAE 17.90, MSE 59.65 
MAE 18.51, MSE 61.30 
MAE 19.13, MSE 65.08 
MAE 19.01, MSE 63.11 
MAE 18.93, MSE 62.45 
MAE 18.42, MSE 62.75 
MAE 18.33, MSE 62.86 
MAE 20.39, MSE 65.84 
MAE 18.96, MSE 62.11 
MAE 18.73, MSE 67.32 
MAE 19.07, MSE 62.94 
MAE 18.59, MSE 63.56 
MAE 20.47, MSE 65.32 
MAE 18.64, MSE 64.96 
MAE 17.99, MSE 59.58 
MAE 19.08, MSE 63.82 
MAE 19.80, MSE 63.26 
