Epoch 1: loss 0.00000190, MAE 37.43, MSE 104.03, Best MAE 37.43, Best MSE 104.03 
Epoch 2: loss 0.00000184, MAE 32.54, MSE 86.34, Best MAE 32.54, Best MSE 86.34 
Epoch 3: loss 0.00000177, MAE 34.24, MSE 90.57, Best MAE 32.54, Best MSE 86.34 
Epoch 4: loss 0.00000176, MAE 27.74, MSE 82.78, Best MAE 27.74, Best MSE 82.78 
Epoch 5: loss 0.00000175, MAE 25.13, MSE 67.84, Best MAE 25.13, Best MSE 67.84 
Epoch 6: loss 0.00000173, MAE 24.29, MSE 68.79, Best MAE 24.29, Best MSE 68.79 
Epoch 7: loss 0.00000168, MAE 32.60, MSE 96.42, Best MAE 24.29, Best MSE 68.79 
Epoch 8: loss 0.00000169, MAE 24.71, MSE 66.40, Best MAE 24.29, Best MSE 68.79 
Epoch 9: loss 0.00000166, MAE 26.80, MSE 77.44, Best MAE 24.29, Best MSE 68.79 
Epoch 10: loss 0.00000166, MAE 35.17, MSE 78.89, Best MAE 24.29, Best MSE 68.79 
Epoch 11: loss 0.00000163, MAE 21.91, MSE 66.03, Best MAE 21.91, Best MSE 66.03 
Epoch 12: loss 0.00000166, MAE 24.51, MSE 77.08, Best MAE 21.91, Best MSE 66.03 
Epoch 13: loss 0.00000166, MAE 26.03, MSE 85.63, Best MAE 21.91, Best MSE 66.03 
Epoch 14: loss 0.00000163, MAE 22.95, MSE 72.92, Best MAE 21.91, Best MSE 66.03 
Epoch 15: loss 0.00000161, MAE 22.85, MSE 74.50, Best MAE 21.91, Best MSE 66.03 
Epoch 16: loss 0.00000161, MAE 24.07, MSE 79.22, Best MAE 21.91, Best MSE 66.03 
Epoch 17: loss 0.00000160, MAE 21.10, MSE 67.53, Best MAE 21.10, Best MSE 67.53 
Epoch 18: loss 0.00000160, MAE 22.54, MSE 71.58, Best MAE 21.10, Best MSE 67.53 
Epoch 19: loss 0.00000160, MAE 48.89, MSE 106.44, Best MAE 21.10, Best MSE 67.53 
Epoch 20: loss 0.00000165, MAE 27.37, MSE 71.63, Best MAE 21.10, Best MSE 67.53 
Epoch 21: loss 0.00000159, MAE 27.13, MSE 81.16, Best MAE 21.10, Best MSE 67.53 
Epoch 22: loss 0.00000158, MAE 23.05, MSE 77.91, Best MAE 21.10, Best MSE 67.53 
Epoch 23: loss 0.00000155, MAE 18.72, MSE 63.45, Best MAE 18.72, Best MSE 63.45 
Epoch 24: loss 0.00000152, MAE 20.62, MSE 64.42, Best MAE 18.72, Best MSE 63.45 
Epoch 25: loss 0.00000155, MAE 21.72, MSE 72.69, Best MAE 18.72, Best MSE 63.45 
Epoch 26: loss 0.00000158, MAE 22.48, MSE 71.22, Best MAE 18.72, Best MSE 63.45 
Epoch 27: loss 0.00000155, MAE 24.24, MSE 72.58, Best MAE 18.72, Best MSE 63.45 
Epoch 28: loss 0.00000154, MAE 19.80, MSE 66.49, Best MAE 18.72, Best MSE 63.45 
Epoch 29: loss 0.00000155, MAE 19.64, MSE 68.18, Best MAE 18.72, Best MSE 63.45 
Epoch 30: loss 0.00000155, MAE 21.46, MSE 71.59, Best MAE 18.72, Best MSE 63.45 
Epoch 31: loss 0.00000155, MAE 19.06, MSE 66.21, Best MAE 18.72, Best MSE 63.45 
Epoch 32: loss 0.00000155, MAE 24.10, MSE 74.17, Best MAE 18.72, Best MSE 63.45 
Epoch 33: loss 0.00000153, MAE 18.72, MSE 67.77, Best MAE 18.72, Best MSE 63.45 
Epoch 34: loss 0.00000152, MAE 21.80, MSE 72.57, Best MAE 18.72, Best MSE 63.45 
Epoch 35: loss 0.00000155, MAE 18.68, MSE 59.06, Best MAE 18.68, Best MSE 59.06 
Epoch 36: loss 0.00000157, MAE 40.84, MSE 107.97, Best MAE 18.68, Best MSE 59.06 
Epoch 37: loss 0.00000152, MAE 21.44, MSE 67.79, Best MAE 18.68, Best MSE 59.06 
Epoch 38: loss 0.00000154, MAE 20.76, MSE 71.81, Best MAE 18.68, Best MSE 59.06 
Epoch 39: loss 0.00000153, MAE 21.85, MSE 72.94, Best MAE 18.68, Best MSE 59.06 
Epoch 40: loss 0.00000152, MAE 22.21, MSE 69.70, Best MAE 18.68, Best MSE 59.06 
Epoch 41: loss 0.00000152, MAE 21.29, MSE 67.13, Best MAE 18.68, Best MSE 59.06 
Epoch 42: loss 0.00000150, MAE 21.54, MSE 69.99, Best MAE 18.68, Best MSE 59.06 
Epoch 43: loss 0.00000152, MAE 21.35, MSE 73.46, Best MAE 18.68, Best MSE 59.06 
Epoch 44: loss 0.00000153, MAE 21.43, MSE 64.49, Best MAE 18.68, Best MSE 59.06 
Epoch 45: loss 0.00000153, MAE 18.62, MSE 64.32, Best MAE 18.62, Best MSE 64.32 
Epoch 46: loss 0.00000148, MAE 20.42, MSE 68.47, Best MAE 18.62, Best MSE 64.32 
Epoch 47: loss 0.00000151, MAE 23.62, MSE 71.28, Best MAE 18.62, Best MSE 64.32 
Epoch 48: loss 0.00000148, MAE 24.04, MSE 70.72, Best MAE 18.62, Best MSE 64.32 
Epoch 49: loss 0.00000150, MAE 21.79, MSE 68.90, Best MAE 18.62, Best MSE 64.32 
Epoch 50: loss 0.00000147, MAE 21.60, MSE 69.82, Best MAE 18.62, Best MSE 64.32 
Epoch 51: loss 0.00000149, MAE 23.00, MSE 71.89, Best MAE 18.62, Best MSE 64.32 
Epoch 52: loss 0.00000151, MAE 20.38, MSE 69.26, Best MAE 18.62, Best MSE 64.32 
Epoch 53: loss 0.00000148, MAE 20.55, MSE 69.44, Best MAE 18.62, Best MSE 64.32 
Epoch 54: loss 0.00000150, MAE 21.21, MSE 71.57, Best MAE 18.62, Best MSE 64.32 
Epoch 55: loss 0.00000149, MAE 19.10, MSE 68.03, Best MAE 18.62, Best MSE 64.32 
Epoch 56: loss 0.00000144, MAE 22.59, MSE 72.30, Best MAE 18.62, Best MSE 64.32 
Epoch 57: loss 0.00000147, MAE 18.40, MSE 63.82, Best MAE 18.40, Best MSE 63.82 
Epoch 58: loss 0.00000145, MAE 19.16, MSE 68.09, Best MAE 18.40, Best MSE 63.82 
Epoch 59: loss 0.00000142, MAE 18.91, MSE 65.79, Best MAE 18.40, Best MSE 63.82 
Epoch 60: loss 0.00000147, MAE 20.78, MSE 69.88, Best MAE 18.40, Best MSE 63.82 
Epoch 61: loss 0.00000147, MAE 23.96, MSE 73.89, Best MAE 18.40, Best MSE 63.82 
Epoch 62: loss 0.00000147, MAE 25.83, MSE 70.59, Best MAE 18.40, Best MSE 63.82 
