MAE 37.43, MSE 104.03 
MAE 32.54, MSE 86.34 
MAE 34.24, MSE 90.57 
MAE 27.74, MSE 82.78 
MAE 25.13, MSE 67.84 
MAE 24.29, MSE 68.79 
MAE 32.60, MSE 96.42 
MAE 24.71, MSE 66.40 
MAE 26.80, MSE 77.44 
MAE 35.17, MSE 78.89 
MAE 21.91, MSE 66.03 
MAE 24.51, MSE 77.08 
MAE 26.03, MSE 85.63 
MAE 22.95, MSE 72.92 
MAE 22.85, MSE 74.50 
MAE 24.07, MSE 79.22 
MAE 21.10, MSE 67.53 
MAE 22.54, MSE 71.58 
MAE 48.89, MSE 106.44 
MAE 27.37, MSE 71.63 
MAE 27.13, MSE 81.16 
MAE 23.05, MSE 77.91 
MAE 18.72, MSE 63.45 
MAE 20.62, MSE 64.42 
MAE 21.72, MSE 72.69 
MAE 22.48, MSE 71.22 
MAE 24.24, MSE 72.58 
MAE 19.80, MSE 66.49 
MAE 19.64, MSE 68.18 
MAE 21.46, MSE 71.59 
MAE 19.06, MSE 66.21 
MAE 24.10, MSE 74.17 
MAE 18.72, MSE 67.77 
MAE 21.80, MSE 72.57 
MAE 18.68, MSE 59.06 
MAE 40.84, MSE 107.97 
MAE 21.44, MSE 67.79 
MAE 20.76, MSE 71.81 
MAE 21.85, MSE 72.94 
MAE 22.21, MSE 69.70 
MAE 21.29, MSE 67.13 
MAE 21.54, MSE 69.99 
MAE 21.35, MSE 73.46 
MAE 21.43, MSE 64.49 
MAE 18.62, MSE 64.32 
MAE 20.42, MSE 68.47 
MAE 23.62, MSE 71.28 
MAE 24.04, MSE 70.72 
MAE 21.79, MSE 68.90 
MAE 21.60, MSE 69.82 
MAE 23.00, MSE 71.89 
MAE 20.38, MSE 69.26 
MAE 20.55, MSE 69.44 
MAE 21.21, MSE 71.57 
MAE 19.10, MSE 68.03 
MAE 22.59, MSE 72.30 
MAE 18.40, MSE 63.82 
MAE 19.16, MSE 68.09 
MAE 18.91, MSE 65.79 
MAE 20.78, MSE 69.88 
MAE 23.96, MSE 73.89 
MAE 25.83, MSE 70.59 
MAE 30.36, MSE 76.94 
MAE 22.65, MSE 73.02 
MAE 21.52, MSE 75.02 
MAE 21.47, MSE 72.83 
MAE 19.99, MSE 67.73 
MAE 18.59, MSE 65.14 
MAE 18.38, MSE 63.89 
MAE 22.31, MSE 65.43 
MAE 20.96, MSE 68.28 
MAE 28.33, MSE 75.90 
MAE 21.27, MSE 67.32 
MAE 22.76, MSE 73.21 
MAE 20.64, MSE 70.35 
MAE 18.69, MSE 65.84 
MAE 20.11, MSE 67.85 
MAE 23.06, MSE 73.35 
MAE 30.76, MSE 86.84 
MAE 20.51, MSE 67.09 
MAE 21.39, MSE 65.36 
MAE 21.37, MSE 68.89 
MAE 20.23, MSE 65.81 
MAE 18.62, MSE 66.12 
MAE 19.60, MSE 70.34 
MAE 33.53, MSE 82.78 
MAE 20.35, MSE 65.87 
MAE 25.16, MSE 71.44 
MAE 19.65, MSE 63.77 
MAE 18.57, MSE 64.11 
MAE 22.09, MSE 73.45 
MAE 23.88, MSE 72.54 
MAE 38.22, MSE 73.70 
MAE 19.06, MSE 68.56 
MAE 19.69, MSE 68.10 
MAE 19.83, MSE 69.58 
MAE 20.29, MSE 67.95 
MAE 22.71, MSE 76.76 
MAE 21.19, MSE 70.04 
MAE 21.54, MSE 70.58 
MAE 22.47, MSE 71.65 
MAE 24.42, MSE 71.56 
MAE 20.26, MSE 69.52 
MAE 25.75, MSE 79.63 
MAE 19.08, MSE 65.13 
MAE 22.82, MSE 72.93 
MAE 18.54, MSE 65.98 
MAE 18.54, MSE 62.12 
MAE 23.77, MSE 77.75 
MAE 18.99, MSE 65.08 
MAE 18.87, MSE 64.89 
MAE 19.90, MSE 69.53 
MAE 31.72, MSE 99.09 
MAE 21.06, MSE 57.15 
MAE 20.22, MSE 68.37 
MAE 19.87, MSE 66.43 
MAE 19.61, MSE 66.53 
MAE 20.89, MSE 71.00 
MAE 18.85, MSE 65.92 
MAE 21.04, MSE 71.60 
MAE 21.88, MSE 69.54 
MAE 21.42, MSE 71.56 
MAE 22.65, MSE 69.80 
MAE 21.02, MSE 70.99 
MAE 22.20, MSE 77.68 
MAE 23.62, MSE 76.35 
MAE 22.77, MSE 69.12 
MAE 26.13, MSE 74.79 
MAE 20.47, MSE 70.95 
MAE 22.40, MSE 70.90 
MAE 25.42, MSE 74.47 
MAE 19.56, MSE 68.63 
MAE 20.84, MSE 67.47 
MAE 20.43, MSE 66.16 
MAE 21.10, MSE 74.37 
MAE 19.82, MSE 69.00 
MAE 20.57, MSE 69.37 
MAE 20.00, MSE 68.20 
MAE 21.58, MSE 72.44 
MAE 24.79, MSE 76.81 
MAE 21.55, MSE 70.86 
MAE 20.97, MSE 72.04 
MAE 21.16, MSE 67.83 
MAE 20.41, MSE 70.01 
MAE 22.73, MSE 75.29 
MAE 20.42, MSE 68.93 
MAE 20.72, MSE 72.14 
MAE 21.53, MSE 73.50 
MAE 25.59, MSE 70.23 
MAE 19.91, MSE 72.60 
MAE 20.17, MSE 71.71 
MAE 24.63, MSE 76.56 
MAE 19.56, MSE 65.56 
MAE 21.78, MSE 72.78 
MAE 21.63, MSE 71.47 
MAE 19.94, MSE 68.14 
MAE 22.08, MSE 66.37 
MAE 18.95, MSE 66.83 
MAE 19.75, MSE 71.01 
MAE 19.67, MSE 68.74 
MAE 20.72, MSE 72.92 
MAE 20.26, MSE 70.28 
MAE 19.80, MSE 66.03 
MAE 20.09, MSE 67.88 
MAE 21.89, MSE 70.92 
MAE 18.45, MSE 63.80 
MAE 19.86, MSE 68.96 
MAE 21.80, MSE 73.24 
MAE 22.40, MSE 71.36 
MAE 19.78, MSE 69.33 
MAE 19.33, MSE 66.74 
MAE 20.13, MSE 68.90 
MAE 21.65, MSE 73.10 
MAE 25.53, MSE 77.73 
MAE 22.15, MSE 73.31 
MAE 20.84, MSE 71.03 
MAE 20.44, MSE 67.61 
MAE 20.35, MSE 69.95 
MAE 22.53, MSE 70.56 
MAE 23.93, MSE 81.26 
MAE 21.99, MSE 70.32 
MAE 21.56, MSE 72.99 
MAE 23.38, MSE 79.66 
MAE 21.08, MSE 74.41 
MAE 19.84, MSE 70.76 
MAE 21.35, MSE 71.51 
MAE 29.40, MSE 76.99 
MAE 20.64, MSE 70.79 
MAE 22.66, MSE 68.50 
MAE 21.37, MSE 68.14 
MAE 20.02, MSE 69.24 
MAE 19.89, MSE 69.04 
MAE 21.37, MSE 73.83 
MAE 20.38, MSE 71.81 
MAE 21.34, MSE 73.99 
MAE 20.86, MSE 71.13 
MAE 21.14, MSE 69.59 
MAE 20.17, MSE 69.95 
MAE 20.41, MSE 70.86 
MAE 21.26, MSE 71.87 
MAE 24.50, MSE 77.70 
MAE 18.93, MSE 65.63 
MAE 18.88, MSE 65.53 
MAE 19.68, MSE 67.50 
MAE 19.91, MSE 70.80 
MAE 20.60, MSE 71.06 
MAE 19.51, MSE 69.01 
MAE 19.99, MSE 68.93 
MAE 20.65, MSE 73.49 
MAE 21.18, MSE 70.13 
MAE 19.53, MSE 68.45 
MAE 19.71, MSE 71.09 
MAE 19.85, MSE 71.47 
MAE 20.22, MSE 69.97 
MAE 20.40, MSE 71.83 
MAE 21.06, MSE 72.99 
MAE 24.03, MSE 74.77 
MAE 21.24, MSE 72.04 
MAE 21.28, MSE 69.20 
MAE 22.06, MSE 79.12 
MAE 20.61, MSE 70.17 
MAE 22.17, MSE 78.42 
MAE 21.41, MSE 77.25 
MAE 21.28, MSE 74.55 
MAE 21.72, MSE 74.42 
MAE 20.65, MSE 72.33 
MAE 19.83, MSE 70.32 
MAE 20.36, MSE 65.07 
MAE 19.21, MSE 64.15 
MAE 20.06, MSE 72.77 
MAE 19.79, MSE 67.04 
MAE 21.20, MSE 74.34 
MAE 19.70, MSE 69.78 
MAE 23.12, MSE 78.18 
MAE 23.21, MSE 74.88 
MAE 20.65, MSE 74.86 
MAE 22.95, MSE 73.07 
MAE 22.44, MSE 74.87 
MAE 21.53, MSE 73.43 
MAE 21.21, MSE 70.98 
MAE 21.74, MSE 72.94 
MAE 21.48, MSE 73.71 
MAE 20.34, MSE 71.97 
MAE 22.18, MSE 76.88 
MAE 19.29, MSE 68.03 
MAE 21.94, MSE 72.38 
MAE 21.58, MSE 73.03 
MAE 19.35, MSE 67.32 
MAE 22.46, MSE 74.04 
MAE 20.81, MSE 73.49 
MAE 22.85, MSE 74.17 
MAE 22.82, MSE 76.32 
MAE 21.10, MSE 71.76 
MAE 20.47, MSE 72.94 
MAE 23.77, MSE 76.34 
MAE 20.27, MSE 72.59 
MAE 22.29, MSE 75.95 
MAE 20.94, MSE 70.72 
MAE 21.12, MSE 75.11 
MAE 20.86, MSE 73.96 
MAE 22.23, MSE 76.20 
MAE 22.51, MSE 71.42 
MAE 23.29, MSE 79.81 
MAE 21.93, MSE 73.23 
MAE 28.39, MSE 82.68 
MAE 33.47, MSE 83.63 
MAE 20.78, MSE 71.53 
MAE 22.84, MSE 73.07 
MAE 22.83, MSE 79.09 
MAE 21.08, MSE 71.41 
MAE 20.19, MSE 69.90 
MAE 22.54, MSE 72.02 
MAE 21.11, MSE 71.31 
MAE 21.48, MSE 74.13 
MAE 21.77, MSE 73.00 
MAE 20.77, MSE 72.76 
MAE 22.05, MSE 76.41 
MAE 21.20, MSE 75.48 
MAE 21.32, MSE 80.10 
MAE 21.42, MSE 75.77 
MAE 20.23, MSE 74.53 
MAE 21.06, MSE 71.04 
MAE 20.90, MSE 74.58 
MAE 23.75, MSE 80.65 
MAE 22.58, MSE 71.52 
MAE 21.57, MSE 72.80 
MAE 20.57, MSE 73.89 
MAE 20.71, MSE 72.03 
MAE 22.43, MSE 75.67 
