Epoch 1: loss 0.00000191, MAE 31.30, MSE 92.04, Best MAE 31.30, Best MSE 92.04 
Epoch 2: loss 0.00000178, MAE 28.56, MSE 81.60, Best MAE 28.56, Best MSE 81.60 
Epoch 3: loss 0.00000174, MAE 27.79, MSE 85.31, Best MAE 27.79, Best MSE 85.31 
Epoch 4: loss 0.00000178, MAE 34.50, MSE 77.51, Best MAE 27.79, Best MSE 85.31 
Epoch 5: loss 0.00000170, MAE 28.09, MSE 86.93, Best MAE 27.79, Best MSE 85.31 
Epoch 6: loss 0.00000166, MAE 22.47, MSE 60.16, Best MAE 22.47, Best MSE 60.16 
Epoch 7: loss 0.00000166, MAE 26.48, MSE 73.24, Best MAE 22.47, Best MSE 60.16 
Epoch 8: loss 0.00000165, MAE 24.00, MSE 72.99, Best MAE 22.47, Best MSE 60.16 
Epoch 9: loss 0.00000163, MAE 28.71, MSE 85.22, Best MAE 22.47, Best MSE 60.16 
Epoch 10: loss 0.00000164, MAE 24.64, MSE 77.28, Best MAE 22.47, Best MSE 60.16 
Epoch 11: loss 0.00000163, MAE 25.80, MSE 76.68, Best MAE 22.47, Best MSE 60.16 
Epoch 12: loss 0.00000161, MAE 24.52, MSE 79.48, Best MAE 22.47, Best MSE 60.16 
Epoch 13: loss 0.00000164, MAE 21.42, MSE 68.54, Best MAE 21.42, Best MSE 68.54 
Epoch 14: loss 0.00000163, MAE 24.14, MSE 71.23, Best MAE 21.42, Best MSE 68.54 
Epoch 15: loss 0.00000162, MAE 23.33, MSE 64.82, Best MAE 21.42, Best MSE 68.54 
Epoch 16: loss 0.00000159, MAE 22.82, MSE 70.61, Best MAE 21.42, Best MSE 68.54 
Epoch 17: loss 0.00000160, MAE 20.87, MSE 65.26, Best MAE 20.87, Best MSE 65.26 
Epoch 18: loss 0.00000160, MAE 23.80, MSE 73.53, Best MAE 20.87, Best MSE 65.26 
Epoch 19: loss 0.00000153, MAE 25.92, MSE 75.04, Best MAE 20.87, Best MSE 65.26 
Epoch 20: loss 0.00000154, MAE 25.42, MSE 72.03, Best MAE 20.87, Best MSE 65.26 
Epoch 21: loss 0.00000160, MAE 25.59, MSE 79.21, Best MAE 20.87, Best MSE 65.26 
Epoch 22: loss 0.00000164, MAE 31.74, MSE 69.85, Best MAE 20.87, Best MSE 65.26 
Epoch 23: loss 0.00000155, MAE 20.27, MSE 68.08, Best MAE 20.27, Best MSE 68.08 
Epoch 24: loss 0.00000154, MAE 20.71, MSE 68.52, Best MAE 20.27, Best MSE 68.08 
Epoch 25: loss 0.00000155, MAE 26.08, MSE 69.71, Best MAE 20.27, Best MSE 68.08 
Epoch 26: loss 0.00000155, MAE 20.19, MSE 65.05, Best MAE 20.19, Best MSE 65.05 
Epoch 27: loss 0.00000157, MAE 24.24, MSE 76.91, Best MAE 20.19, Best MSE 65.05 
Epoch 28: loss 0.00000152, MAE 23.87, MSE 74.43, Best MAE 20.19, Best MSE 65.05 
Epoch 29: loss 0.00000152, MAE 24.09, MSE 78.18, Best MAE 20.19, Best MSE 65.05 
Epoch 30: loss 0.00000151, MAE 27.01, MSE 75.64, Best MAE 20.19, Best MSE 65.05 
Epoch 31: loss 0.00000160, MAE 26.30, MSE 78.06, Best MAE 20.19, Best MSE 65.05 
Epoch 32: loss 0.00000159, MAE 21.43, MSE 69.67, Best MAE 20.19, Best MSE 65.05 
Epoch 33: loss 0.00000154, MAE 27.47, MSE 80.24, Best MAE 20.19, Best MSE 65.05 
Epoch 34: loss 0.00000155, MAE 26.74, MSE 72.84, Best MAE 20.19, Best MSE 65.05 
Epoch 35: loss 0.00000154, MAE 30.27, MSE 104.43, Best MAE 20.19, Best MSE 65.05 
Epoch 36: loss 0.00000156, MAE 21.13, MSE 64.08, Best MAE 20.19, Best MSE 65.05 
Epoch 37: loss 0.00000151, MAE 21.44, MSE 70.26, Best MAE 20.19, Best MSE 65.05 
Epoch 38: loss 0.00000155, MAE 24.53, MSE 71.78, Best MAE 20.19, Best MSE 65.05 
Epoch 39: loss 0.00000153, MAE 23.84, MSE 71.91, Best MAE 20.19, Best MSE 65.05 
Epoch 40: loss 0.00000148, MAE 19.52, MSE 64.10, Best MAE 19.52, Best MSE 64.10 
Epoch 41: loss 0.00000148, MAE 19.32, MSE 53.65, Best MAE 19.32, Best MSE 53.65 
Epoch 42: loss 0.00000152, MAE 22.21, MSE 71.27, Best MAE 19.32, Best MSE 53.65 
Epoch 43: loss 0.00000149, MAE 26.48, MSE 75.42, Best MAE 19.32, Best MSE 53.65 
Epoch 44: loss 0.00000149, MAE 23.22, MSE 69.81, Best MAE 19.32, Best MSE 53.65 
Epoch 45: loss 0.00000149, MAE 20.29, MSE 62.53, Best MAE 19.32, Best MSE 53.65 
Epoch 46: loss 0.00000151, MAE 24.27, MSE 72.11, Best MAE 19.32, Best MSE 53.65 
Epoch 47: loss 0.00000149, MAE 20.82, MSE 67.99, Best MAE 19.32, Best MSE 53.65 
Epoch 48: loss 0.00000149, MAE 31.77, MSE 75.14, Best MAE 19.32, Best MSE 53.65 
Epoch 49: loss 0.00000147, MAE 28.52, MSE 81.21, Best MAE 19.32, Best MSE 53.65 
Epoch 50: loss 0.00000148, MAE 28.97, MSE 73.73, Best MAE 19.32, Best MSE 53.65 
Epoch 51: loss 0.00000147, MAE 24.26, MSE 75.61, Best MAE 19.32, Best MSE 53.65 
Epoch 52: loss 0.00000148, MAE 25.56, MSE 74.58, Best MAE 19.32, Best MSE 53.65 
Epoch 53: loss 0.00000146, MAE 21.89, MSE 70.03, Best MAE 19.32, Best MSE 53.65 
Epoch 54: loss 0.00000148, MAE 25.91, MSE 73.94, Best MAE 19.32, Best MSE 53.65 
Epoch 55: loss 0.00000144, MAE 24.49, MSE 72.89, Best MAE 19.32, Best MSE 53.65 
Epoch 56: loss 0.00000149, MAE 32.81, MSE 81.47, Best MAE 19.32, Best MSE 53.65 
