MAE 31.30, MSE 92.04 
MAE 28.56, MSE 81.60 
MAE 27.79, MSE 85.31 
MAE 34.50, MSE 77.51 
MAE 28.09, MSE 86.93 
MAE 22.47, MSE 60.16 
MAE 26.48, MSE 73.24 
MAE 24.00, MSE 72.99 
MAE 28.71, MSE 85.22 
MAE 24.64, MSE 77.28 
MAE 25.80, MSE 76.68 
MAE 24.52, MSE 79.48 
MAE 21.42, MSE 68.54 
MAE 24.14, MSE 71.23 
MAE 23.33, MSE 64.82 
MAE 22.82, MSE 70.61 
MAE 20.87, MSE 65.26 
MAE 23.80, MSE 73.53 
MAE 25.92, MSE 75.04 
MAE 25.42, MSE 72.03 
MAE 25.59, MSE 79.21 
MAE 31.74, MSE 69.85 
MAE 20.27, MSE 68.08 
MAE 20.71, MSE 68.52 
MAE 26.08, MSE 69.71 
MAE 20.19, MSE 65.05 
MAE 24.24, MSE 76.91 
MAE 23.87, MSE 74.43 
MAE 24.09, MSE 78.18 
MAE 27.01, MSE 75.64 
MAE 26.30, MSE 78.06 
MAE 21.43, MSE 69.67 
MAE 27.47, MSE 80.24 
MAE 26.74, MSE 72.84 
MAE 30.27, MSE 104.43 
MAE 21.13, MSE 64.08 
MAE 21.44, MSE 70.26 
MAE 24.53, MSE 71.78 
MAE 23.84, MSE 71.91 
MAE 19.52, MSE 64.10 
MAE 19.32, MSE 53.65 
MAE 22.21, MSE 71.27 
MAE 26.48, MSE 75.42 
MAE 23.22, MSE 69.81 
MAE 20.29, MSE 62.53 
MAE 24.27, MSE 72.11 
MAE 20.82, MSE 67.99 
MAE 31.77, MSE 75.14 
MAE 28.52, MSE 81.21 
MAE 28.97, MSE 73.73 
MAE 24.26, MSE 75.61 
MAE 25.56, MSE 74.58 
MAE 21.89, MSE 70.03 
MAE 25.91, MSE 73.94 
MAE 24.49, MSE 72.89 
MAE 32.81, MSE 81.47 
MAE 24.90, MSE 72.61 
MAE 22.05, MSE 67.44 
MAE 20.47, MSE 66.63 
MAE 21.71, MSE 72.54 
MAE 23.95, MSE 76.07 
MAE 21.96, MSE 70.69 
MAE 21.14, MSE 71.66 
MAE 28.93, MSE 76.54 
MAE 19.39, MSE 57.06 
MAE 26.14, MSE 87.13 
MAE 24.41, MSE 74.33 
MAE 20.01, MSE 65.53 
MAE 21.23, MSE 71.93 
MAE 21.56, MSE 73.54 
MAE 26.44, MSE 84.49 
MAE 25.35, MSE 75.30 
MAE 23.09, MSE 74.24 
MAE 22.79, MSE 74.91 
MAE 21.25, MSE 74.44 
MAE 26.71, MSE 78.71 
MAE 22.13, MSE 72.40 
MAE 23.49, MSE 77.33 
MAE 23.47, MSE 74.64 
MAE 23.04, MSE 74.24 
MAE 26.28, MSE 81.47 
MAE 24.34, MSE 78.87 
MAE 23.00, MSE 76.41 
MAE 23.59, MSE 73.93 
MAE 21.65, MSE 76.62 
MAE 19.84, MSE 69.87 
MAE 23.78, MSE 77.19 
MAE 21.66, MSE 77.61 
MAE 28.83, MSE 93.91 
MAE 23.11, MSE 72.26 
MAE 26.76, MSE 80.46 
MAE 23.99, MSE 76.87 
MAE 25.72, MSE 83.00 
MAE 24.13, MSE 78.47 
MAE 26.60, MSE 82.17 
MAE 22.04, MSE 76.71 
MAE 22.54, MSE 73.46 
MAE 21.69, MSE 75.00 
MAE 22.82, MSE 74.90 
MAE 22.50, MSE 76.79 
MAE 22.82, MSE 77.47 
MAE 20.38, MSE 71.98 
MAE 23.52, MSE 74.72 
MAE 23.30, MSE 76.94 
MAE 25.21, MSE 79.96 
MAE 21.03, MSE 74.14 
MAE 24.59, MSE 79.93 
MAE 21.50, MSE 75.19 
MAE 29.32, MSE 79.84 
MAE 25.04, MSE 78.01 
MAE 24.55, MSE 88.71 
MAE 29.10, MSE 76.64 
MAE 23.46, MSE 78.22 
MAE 22.99, MSE 79.51 
MAE 24.43, MSE 80.96 
MAE 23.23, MSE 81.47 
MAE 21.79, MSE 74.25 
MAE 23.31, MSE 79.20 
MAE 22.76, MSE 79.98 
MAE 23.13, MSE 80.28 
MAE 25.45, MSE 82.52 
MAE 22.41, MSE 75.81 
MAE 21.42, MSE 73.10 
MAE 22.66, MSE 79.20 
MAE 23.01, MSE 77.90 
MAE 21.18, MSE 75.41 
MAE 29.31, MSE 93.44 
MAE 26.93, MSE 84.84 
MAE 24.02, MSE 84.69 
MAE 27.10, MSE 80.54 
