Epoch 1: loss 0.00000190, MAE 33.97, MSE 92.67, Best MAE 33.97, Best MSE 92.67 
Epoch 2: loss 0.00000180, MAE 31.48, MSE 89.45, Best MAE 31.48, Best MSE 89.45 
Epoch 3: loss 0.00000180, MAE 27.39, MSE 75.45, Best MAE 27.39, Best MSE 75.45 
Epoch 4: loss 0.00000178, MAE 28.94, MSE 84.81, Best MAE 27.39, Best MSE 75.45 
Epoch 5: loss 0.00000168, MAE 26.96, MSE 81.44, Best MAE 26.96, Best MSE 81.44 
Epoch 6: loss 0.00000172, MAE 29.97, MSE 83.11, Best MAE 26.96, Best MSE 81.44 
Epoch 7: loss 0.00000167, MAE 26.93, MSE 74.07, Best MAE 26.93, Best MSE 74.07 
Epoch 8: loss 0.00000166, MAE 25.80, MSE 81.18, Best MAE 25.80, Best MSE 81.18 
Epoch 9: loss 0.00000168, MAE 27.31, MSE 80.29, Best MAE 25.80, Best MSE 81.18 
Epoch 10: loss 0.00000167, MAE 26.35, MSE 85.70, Best MAE 25.80, Best MSE 81.18 
Epoch 11: loss 0.00000165, MAE 24.34, MSE 79.87, Best MAE 24.34, Best MSE 79.87 
Epoch 12: loss 0.00000167, MAE 32.20, MSE 72.67, Best MAE 24.34, Best MSE 79.87 
Epoch 13: loss 0.00000163, MAE 26.21, MSE 86.63, Best MAE 24.34, Best MSE 79.87 
Epoch 14: loss 0.00000164, MAE 24.04, MSE 71.17, Best MAE 24.04, Best MSE 71.17 
Epoch 15: loss 0.00000160, MAE 24.98, MSE 82.67, Best MAE 24.04, Best MSE 71.17 
Epoch 16: loss 0.00000164, MAE 23.67, MSE 79.00, Best MAE 23.67, Best MSE 79.00 
Epoch 17: loss 0.00000160, MAE 27.38, MSE 91.16, Best MAE 23.67, Best MSE 79.00 
Epoch 18: loss 0.00000161, MAE 23.41, MSE 77.29, Best MAE 23.41, Best MSE 77.29 
Epoch 19: loss 0.00000163, MAE 24.94, MSE 80.26, Best MAE 23.41, Best MSE 77.29 
Epoch 20: loss 0.00000159, MAE 23.28, MSE 76.61, Best MAE 23.28, Best MSE 76.61 
Epoch 21: loss 0.00000159, MAE 25.08, MSE 77.08, Best MAE 23.28, Best MSE 76.61 
Epoch 22: loss 0.00000158, MAE 30.22, MSE 99.72, Best MAE 23.28, Best MSE 76.61 
Epoch 23: loss 0.00000157, MAE 21.36, MSE 73.03, Best MAE 21.36, Best MSE 73.03 
Epoch 24: loss 0.00000158, MAE 26.51, MSE 79.46, Best MAE 21.36, Best MSE 73.03 
Epoch 25: loss 0.00000152, MAE 26.74, MSE 80.33, Best MAE 21.36, Best MSE 73.03 
Epoch 26: loss 0.00000157, MAE 26.83, MSE 76.89, Best MAE 21.36, Best MSE 73.03 
Epoch 27: loss 0.00000156, MAE 26.23, MSE 88.98, Best MAE 21.36, Best MSE 73.03 
Epoch 28: loss 0.00000154, MAE 21.15, MSE 77.03, Best MAE 21.15, Best MSE 77.03 
Epoch 29: loss 0.00000155, MAE 26.22, MSE 88.05, Best MAE 21.15, Best MSE 77.03 
Epoch 30: loss 0.00000157, MAE 26.52, MSE 83.72, Best MAE 21.15, Best MSE 77.03 
Epoch 31: loss 0.00000156, MAE 19.57, MSE 68.89, Best MAE 19.57, Best MSE 68.89 
Epoch 32: loss 0.00000154, MAE 21.23, MSE 77.01, Best MAE 19.57, Best MSE 68.89 
Epoch 33: loss 0.00000151, MAE 23.32, MSE 79.02, Best MAE 19.57, Best MSE 68.89 
Epoch 34: loss 0.00000156, MAE 19.57, MSE 72.41, Best MAE 19.57, Best MSE 72.41 
Epoch 35: loss 0.00000154, MAE 21.45, MSE 73.94, Best MAE 19.57, Best MSE 72.41 
Epoch 36: loss 0.00000155, MAE 21.79, MSE 75.37, Best MAE 19.57, Best MSE 72.41 
Epoch 37: loss 0.00000152, MAE 26.21, MSE 80.96, Best MAE 19.57, Best MSE 72.41 
Epoch 38: loss 0.00000153, MAE 21.92, MSE 75.08, Best MAE 19.57, Best MSE 72.41 
Epoch 39: loss 0.00000154, MAE 24.17, MSE 77.13, Best MAE 19.57, Best MSE 72.41 
Epoch 40: loss 0.00000152, MAE 20.63, MSE 74.54, Best MAE 19.57, Best MSE 72.41 
Epoch 41: loss 0.00000154, MAE 30.15, MSE 86.16, Best MAE 19.57, Best MSE 72.41 
Epoch 42: loss 0.00000152, MAE 28.25, MSE 79.20, Best MAE 19.57, Best MSE 72.41 
Epoch 43: loss 0.00000152, MAE 26.96, MSE 82.42, Best MAE 19.57, Best MSE 72.41 
Epoch 44: loss 0.00000152, MAE 30.21, MSE 79.11, Best MAE 19.57, Best MSE 72.41 
Epoch 45: loss 0.00000148, MAE 22.73, MSE 78.02, Best MAE 19.57, Best MSE 72.41 
Epoch 46: loss 0.00000148, MAE 29.32, MSE 84.02, Best MAE 19.57, Best MSE 72.41 
Epoch 47: loss 0.00000149, MAE 25.72, MSE 77.70, Best MAE 19.57, Best MSE 72.41 
Epoch 48: loss 0.00000153, MAE 22.89, MSE 78.07, Best MAE 19.57, Best MSE 72.41 
Epoch 49: loss 0.00000149, MAE 24.41, MSE 79.05, Best MAE 19.57, Best MSE 72.41 
Epoch 50: loss 0.00000145, MAE 22.50, MSE 76.70, Best MAE 19.57, Best MSE 72.41 
Epoch 51: loss 0.00000148, MAE 20.86, MSE 75.78, Best MAE 19.57, Best MSE 72.41 
Epoch 52: loss 0.00000146, MAE 22.65, MSE 75.21, Best MAE 19.57, Best MSE 72.41 
Epoch 53: loss 0.00000151, MAE 47.05, MSE 89.41, Best MAE 19.57, Best MSE 72.41 
Epoch 54: loss 0.00000149, MAE 24.68, MSE 80.30, Best MAE 19.57, Best MSE 72.41 
Epoch 55: loss 0.00000146, MAE 25.95, MSE 80.56, Best MAE 19.57, Best MSE 72.41 
Epoch 56: loss 0.00000148, MAE 20.29, MSE 72.66, Best MAE 19.57, Best MSE 72.41 
Epoch 57: loss 0.00000156, MAE 24.87, MSE 78.07, Best MAE 19.57, Best MSE 72.41 
Epoch 58: loss 0.00000148, MAE 21.84, MSE 73.96, Best MAE 19.57, Best MSE 72.41 
Epoch 59: loss 0.00000146, MAE 23.16, MSE 74.77, Best MAE 19.57, Best MSE 72.41 
Epoch 60: loss 0.00000150, MAE 26.66, MSE 81.60, Best MAE 19.57, Best MSE 72.41 
Epoch 61: loss 0.00000146, MAE 24.63, MSE 79.24, Best MAE 19.57, Best MSE 72.41 
Epoch 62: loss 0.00000144, MAE 22.78, MSE 76.38, Best MAE 19.57, Best MSE 72.41 
Epoch 63: loss 0.00000146, MAE 33.30, MSE 79.41, Best MAE 19.57, Best MSE 72.41 
