MAE 33.97, MSE 92.67 
MAE 31.48, MSE 89.45 
MAE 27.39, MSE 75.45 
MAE 28.94, MSE 84.81 
MAE 26.96, MSE 81.44 
MAE 29.97, MSE 83.11 
MAE 26.93, MSE 74.07 
MAE 25.80, MSE 81.18 
MAE 27.31, MSE 80.29 
MAE 26.35, MSE 85.70 
MAE 24.34, MSE 79.87 
MAE 32.20, MSE 72.67 
MAE 26.21, MSE 86.63 
MAE 24.04, MSE 71.17 
MAE 24.98, MSE 82.67 
MAE 23.67, MSE 79.00 
MAE 27.38, MSE 91.16 
MAE 23.41, MSE 77.29 
MAE 24.94, MSE 80.26 
MAE 23.28, MSE 76.61 
MAE 25.08, MSE 77.08 
MAE 30.22, MSE 99.72 
MAE 21.36, MSE 73.03 
MAE 26.51, MSE 79.46 
MAE 26.74, MSE 80.33 
MAE 26.83, MSE 76.89 
MAE 26.23, MSE 88.98 
MAE 21.15, MSE 77.03 
MAE 26.22, MSE 88.05 
MAE 26.52, MSE 83.72 
MAE 19.57, MSE 68.89 
MAE 21.23, MSE 77.01 
MAE 23.32, MSE 79.02 
MAE 19.57, MSE 72.41 
MAE 21.45, MSE 73.94 
MAE 21.79, MSE 75.37 
MAE 26.21, MSE 80.96 
MAE 21.92, MSE 75.08 
MAE 24.17, MSE 77.13 
MAE 20.63, MSE 74.54 
MAE 30.15, MSE 86.16 
MAE 28.25, MSE 79.20 
MAE 26.96, MSE 82.42 
MAE 30.21, MSE 79.11 
MAE 22.73, MSE 78.02 
MAE 29.32, MSE 84.02 
MAE 25.72, MSE 77.70 
MAE 22.89, MSE 78.07 
MAE 24.41, MSE 79.05 
MAE 22.50, MSE 76.70 
MAE 20.86, MSE 75.78 
MAE 22.65, MSE 75.21 
MAE 47.05, MSE 89.41 
MAE 24.68, MSE 80.30 
MAE 25.95, MSE 80.56 
MAE 20.29, MSE 72.66 
MAE 24.87, MSE 78.07 
MAE 21.84, MSE 73.96 
MAE 23.16, MSE 74.77 
MAE 26.66, MSE 81.60 
MAE 24.63, MSE 79.24 
MAE 22.78, MSE 76.38 
MAE 33.30, MSE 79.41 
MAE 20.73, MSE 73.50 
MAE 23.30, MSE 79.16 
MAE 24.95, MSE 81.88 
MAE 22.68, MSE 77.95 
MAE 20.66, MSE 72.67 
MAE 23.39, MSE 79.55 
MAE 20.06, MSE 75.94 
MAE 22.55, MSE 76.99 
MAE 18.93, MSE 71.02 
MAE 18.98, MSE 72.38 
MAE 24.65, MSE 81.35 
MAE 24.97, MSE 81.37 
MAE 21.48, MSE 79.73 
MAE 22.28, MSE 74.16 
MAE 24.66, MSE 81.47 
MAE 21.27, MSE 76.23 
MAE 25.40, MSE 84.94 
MAE 24.07, MSE 80.54 
MAE 22.68, MSE 76.58 
MAE 29.63, MSE 95.20 
MAE 25.01, MSE 65.69 
MAE 23.65, MSE 80.77 
MAE 23.37, MSE 80.62 
MAE 22.26, MSE 77.65 
