Epoch 1: loss 0.00000188, MAE 33.13, MSE 87.03, Best MAE 33.13, Best MSE 87.03 
Epoch 2: loss 0.00000184, MAE 32.13, MSE 77.62, Best MAE 32.13, Best MSE 77.62 
Epoch 3: loss 0.00000177, MAE 30.80, MSE 84.20, Best MAE 30.80, Best MSE 84.20 
Epoch 4: loss 0.00000172, MAE 28.55, MSE 80.92, Best MAE 28.55, Best MSE 80.92 
Epoch 5: loss 0.00000174, MAE 24.08, MSE 64.79, Best MAE 24.08, Best MSE 64.79 
Epoch 6: loss 0.00000172, MAE 25.95, MSE 74.20, Best MAE 24.08, Best MSE 64.79 
Epoch 7: loss 0.00000166, MAE 23.30, MSE 71.87, Best MAE 23.30, Best MSE 71.87 
Epoch 8: loss 0.00000169, MAE 22.88, MSE 73.05, Best MAE 22.88, Best MSE 73.05 
Epoch 9: loss 0.00000169, MAE 30.47, MSE 78.92, Best MAE 22.88, Best MSE 73.05 
Epoch 10: loss 0.00000165, MAE 24.28, MSE 72.71, Best MAE 22.88, Best MSE 73.05 
Epoch 11: loss 0.00000166, MAE 23.65, MSE 73.78, Best MAE 22.88, Best MSE 73.05 
Epoch 12: loss 0.00000163, MAE 20.94, MSE 68.64, Best MAE 20.94, Best MSE 68.64 
Epoch 13: loss 0.00000164, MAE 23.07, MSE 78.24, Best MAE 20.94, Best MSE 68.64 
Epoch 14: loss 0.00000162, MAE 22.32, MSE 73.88, Best MAE 20.94, Best MSE 68.64 
Epoch 15: loss 0.00000159, MAE 26.83, MSE 87.47, Best MAE 20.94, Best MSE 68.64 
Epoch 16: loss 0.00000161, MAE 20.52, MSE 70.39, Best MAE 20.52, Best MSE 70.39 
Epoch 17: loss 0.00000162, MAE 22.55, MSE 70.21, Best MAE 20.52, Best MSE 70.39 
Epoch 18: loss 0.00000164, MAE 51.02, MSE 91.37, Best MAE 20.52, Best MSE 70.39 
Epoch 19: loss 0.00000162, MAE 22.19, MSE 71.57, Best MAE 20.52, Best MSE 70.39 
Epoch 20: loss 0.00000158, MAE 23.17, MSE 72.69, Best MAE 20.52, Best MSE 70.39 
Epoch 21: loss 0.00000157, MAE 24.13, MSE 76.45, Best MAE 20.52, Best MSE 70.39 
Epoch 22: loss 0.00000156, MAE 23.55, MSE 67.82, Best MAE 20.52, Best MSE 70.39 
Epoch 23: loss 0.00000157, MAE 32.95, MSE 70.36, Best MAE 20.52, Best MSE 70.39 
Epoch 24: loss 0.00000158, MAE 23.92, MSE 80.20, Best MAE 20.52, Best MSE 70.39 
Epoch 25: loss 0.00000158, MAE 23.68, MSE 73.89, Best MAE 20.52, Best MSE 70.39 
Epoch 26: loss 0.00000156, MAE 19.62, MSE 62.64, Best MAE 19.62, Best MSE 62.64 
Epoch 27: loss 0.00000158, MAE 19.37, MSE 66.93, Best MAE 19.37, Best MSE 66.93 
Epoch 28: loss 0.00000158, MAE 20.13, MSE 67.79, Best MAE 19.37, Best MSE 66.93 
Epoch 29: loss 0.00000156, MAE 27.72, MSE 75.72, Best MAE 19.37, Best MSE 66.93 
Epoch 30: loss 0.00000156, MAE 21.95, MSE 72.23, Best MAE 19.37, Best MSE 66.93 
Epoch 31: loss 0.00000155, MAE 18.56, MSE 62.93, Best MAE 18.56, Best MSE 62.93 
Epoch 32: loss 0.00000155, MAE 24.83, MSE 74.95, Best MAE 18.56, Best MSE 62.93 
Epoch 33: loss 0.00000155, MAE 20.12, MSE 64.88, Best MAE 18.56, Best MSE 62.93 
Epoch 34: loss 0.00000152, MAE 21.44, MSE 76.54, Best MAE 18.56, Best MSE 62.93 
Epoch 35: loss 0.00000153, MAE 19.11, MSE 65.16, Best MAE 18.56, Best MSE 62.93 
Epoch 36: loss 0.00000152, MAE 18.92, MSE 64.58, Best MAE 18.56, Best MSE 62.93 
Epoch 37: loss 0.00000154, MAE 19.71, MSE 66.14, Best MAE 18.56, Best MSE 62.93 
Epoch 38: loss 0.00000152, MAE 23.71, MSE 73.02, Best MAE 18.56, Best MSE 62.93 
Epoch 39: loss 0.00000154, MAE 20.18, MSE 69.25, Best MAE 18.56, Best MSE 62.93 
Epoch 40: loss 0.00000153, MAE 19.93, MSE 67.30, Best MAE 18.56, Best MSE 62.93 
Epoch 41: loss 0.00000151, MAE 24.56, MSE 71.42, Best MAE 18.56, Best MSE 62.93 
Epoch 42: loss 0.00000149, MAE 19.34, MSE 66.82, Best MAE 18.56, Best MSE 62.93 
Epoch 43: loss 0.00000146, MAE 19.25, MSE 67.18, Best MAE 18.56, Best MSE 62.93 
Epoch 44: loss 0.00000148, MAE 25.92, MSE 73.71, Best MAE 18.56, Best MSE 62.93 
Epoch 45: loss 0.00000151, MAE 25.18, MSE 75.33, Best MAE 18.56, Best MSE 62.93 
Epoch 46: loss 0.00000149, MAE 28.54, MSE 85.11, Best MAE 18.56, Best MSE 62.93 
Epoch 47: loss 0.00000151, MAE 20.15, MSE 62.68, Best MAE 18.56, Best MSE 62.93 
Epoch 48: loss 0.00000150, MAE 22.69, MSE 65.63, Best MAE 18.56, Best MSE 62.93 
Epoch 49: loss 0.00000152, MAE 25.22, MSE 71.90, Best MAE 18.56, Best MSE 62.93 
Epoch 50: loss 0.00000149, MAE 22.90, MSE 68.32, Best MAE 18.56, Best MSE 62.93 
Epoch 51: loss 0.00000150, MAE 23.06, MSE 72.71, Best MAE 18.56, Best MSE 62.93 
Epoch 52: loss 0.00000150, MAE 23.41, MSE 69.67, Best MAE 18.56, Best MSE 62.93 
Epoch 53: loss 0.00000153, MAE 20.50, MSE 67.36, Best MAE 18.56, Best MSE 62.93 
Epoch 54: loss 0.00000151, MAE 20.10, MSE 64.54, Best MAE 18.56, Best MSE 62.93 
Epoch 55: loss 0.00000148, MAE 19.97, MSE 64.90, Best MAE 18.56, Best MSE 62.93 
Epoch 56: loss 0.00000149, MAE 22.72, MSE 71.13, Best MAE 18.56, Best MSE 62.93 
Epoch 57: loss 0.00000146, MAE 19.12, MSE 64.50, Best MAE 18.56, Best MSE 62.93 
Epoch 58: loss 0.00000145, MAE 20.81, MSE 69.04, Best MAE 18.56, Best MSE 62.93 
Epoch 59: loss 0.00000151, MAE 23.97, MSE 70.99, Best MAE 18.56, Best MSE 62.93 
Epoch 60: loss 0.00000145, MAE 19.70, MSE 67.17, Best MAE 18.56, Best MSE 62.93 
Epoch 61: loss 0.00000144, MAE 19.50, MSE 63.91, Best MAE 18.56, Best MSE 62.93 
Epoch 62: loss 0.00000145, MAE 22.13, MSE 69.83, Best MAE 18.56, Best MSE 62.93 
Epoch 63: loss 0.00000145, MAE 25.17, MSE 76.82, Best MAE 18.56, Best MSE 62.93 
Epoch 64: loss 0.00000148, MAE 23.89, MSE 75.33, Best MAE 18.56, Best MSE 62.93 
Epoch 65: loss 0.00000147, MAE 20.66, MSE 66.92, Best MAE 18.56, Best MSE 62.93 
Epoch 66: loss 0.00000144, MAE 19.34, MSE 66.57, Best MAE 18.56, Best MSE 62.93 
Epoch 67: loss 0.00000147, MAE 21.44, MSE 77.71, Best MAE 18.56, Best MSE 62.93 
Epoch 68: loss 0.00000143, MAE 18.91, MSE 63.80, Best MAE 18.56, Best MSE 62.93 
Epoch 69: loss 0.00000150, MAE 20.39, MSE 66.38, Best MAE 18.56, Best MSE 62.93 
Epoch 70: loss 0.00000148, MAE 23.24, MSE 77.00, Best MAE 18.56, Best MSE 62.93 
Epoch 71: loss 0.00000143, MAE 22.98, MSE 69.50, Best MAE 18.56, Best MSE 62.93 
Epoch 72: loss 0.00000146, MAE 31.23, MSE 87.08, Best MAE 18.56, Best MSE 62.93 
Epoch 73: loss 0.00000146, MAE 21.31, MSE 69.34, Best MAE 18.56, Best MSE 62.93 
Epoch 74: loss 0.00000144, MAE 22.96, MSE 70.59, Best MAE 18.56, Best MSE 62.93 
Epoch 75: loss 0.00000145, MAE 25.02, MSE 73.08, Best MAE 18.56, Best MSE 62.93 
Epoch 76: loss 0.00000144, MAE 20.82, MSE 65.89, Best MAE 18.56, Best MSE 62.93 
Epoch 77: loss 0.00000143, MAE 22.29, MSE 69.28, Best MAE 18.56, Best MSE 62.93 
Epoch 78: loss 0.00000142, MAE 20.61, MSE 69.56, Best MAE 18.56, Best MSE 62.93 
Epoch 79: loss 0.00000145, MAE 21.06, MSE 69.76, Best MAE 18.56, Best MSE 62.93 
Epoch 80: loss 0.00000145, MAE 21.12, MSE 68.20, Best MAE 18.56, Best MSE 62.93 
Epoch 81: loss 0.00000143, MAE 21.35, MSE 66.04, Best MAE 18.56, Best MSE 62.93 
Epoch 82: loss 0.00000145, MAE 20.65, MSE 69.89, Best MAE 18.56, Best MSE 62.93 
Epoch 83: loss 0.00000143, MAE 20.88, MSE 72.32, Best MAE 18.56, Best MSE 62.93 
Epoch 84: loss 0.00000142, MAE 23.87, MSE 74.40, Best MAE 18.56, Best MSE 62.93 
Epoch 85: loss 0.00000143, MAE 23.15, MSE 74.69, Best MAE 18.56, Best MSE 62.93 
Epoch 86: loss 0.00000138, MAE 20.40, MSE 67.06, Best MAE 18.56, Best MSE 62.93 
Epoch 87: loss 0.00000142, MAE 22.78, MSE 82.83, Best MAE 18.56, Best MSE 62.93 
Epoch 88: loss 0.00000143, MAE 20.11, MSE 65.40, Best MAE 18.56, Best MSE 62.93 
Epoch 89: loss 0.00000145, MAE 27.34, MSE 82.15, Best MAE 18.56, Best MSE 62.93 
Epoch 90: loss 0.00000145, MAE 23.23, MSE 74.40, Best MAE 18.56, Best MSE 62.93 
Epoch 91: loss 0.00000140, MAE 20.96, MSE 68.13, Best MAE 18.56, Best MSE 62.93 
Epoch 92: loss 0.00000140, MAE 19.78, MSE 70.11, Best MAE 18.56, Best MSE 62.93 
Epoch 93: loss 0.00000143, MAE 20.82, MSE 69.21, Best MAE 18.56, Best MSE 62.93 
Epoch 94: loss 0.00000137, MAE 20.89, MSE 70.65, Best MAE 18.56, Best MSE 62.93 
Epoch 95: loss 0.00000139, MAE 22.64, MSE 69.01, Best MAE 18.56, Best MSE 62.93 
Epoch 96: loss 0.00000139, MAE 18.69, MSE 59.90, Best MAE 18.56, Best MSE 62.93 
Epoch 97: loss 0.00000140, MAE 22.74, MSE 77.70, Best MAE 18.56, Best MSE 62.93 
Epoch 98: loss 0.00000144, MAE 24.38, MSE 66.00, Best MAE 18.56, Best MSE 62.93 
Epoch 99: loss 0.00000141, MAE 21.91, MSE 74.12, Best MAE 18.56, Best MSE 62.93 
Epoch 100: loss 0.00000136, MAE 18.64, MSE 62.29, Best MAE 18.56, Best MSE 62.93 
Epoch 101: loss 0.00000138, MAE 19.88, MSE 68.65, Best MAE 18.56, Best MSE 62.93 
Epoch 102: loss 0.00000142, MAE 23.16, MSE 73.37, Best MAE 18.56, Best MSE 62.93 
Epoch 103: loss 0.00000142, MAE 23.13, MSE 74.93, Best MAE 18.56, Best MSE 62.93 
Epoch 104: loss 0.00000138, MAE 19.15, MSE 66.95, Best MAE 18.56, Best MSE 62.93 
Epoch 105: loss 0.00000134, MAE 20.62, MSE 68.46, Best MAE 18.56, Best MSE 62.93 
Epoch 106: loss 0.00000137, MAE 21.21, MSE 72.88, Best MAE 18.56, Best MSE 62.93 
Epoch 107: loss 0.00000138, MAE 22.62, MSE 69.76, Best MAE 18.56, Best MSE 62.93 
Epoch 108: loss 0.00000138, MAE 20.04, MSE 70.50, Best MAE 18.56, Best MSE 62.93 
Epoch 109: loss 0.00000137, MAE 20.09, MSE 70.23, Best MAE 18.56, Best MSE 62.93 
Epoch 110: loss 0.00000140, MAE 23.18, MSE 70.20, Best MAE 18.56, Best MSE 62.93 
Epoch 111: loss 0.00000136, MAE 28.96, MSE 77.70, Best MAE 18.56, Best MSE 62.93 
Epoch 112: loss 0.00000137, MAE 25.76, MSE 76.12, Best MAE 18.56, Best MSE 62.93 
Epoch 113: loss 0.00000138, MAE 21.32, MSE 70.69, Best MAE 18.56, Best MSE 62.93 
Epoch 114: loss 0.00000137, MAE 20.36, MSE 72.49, Best MAE 18.56, Best MSE 62.93 
Epoch 115: loss 0.00000134, MAE 19.25, MSE 67.01, Best MAE 18.56, Best MSE 62.93 
Epoch 116: loss 0.00000140, MAE 21.94, MSE 71.37, Best MAE 18.56, Best MSE 62.93 
Epoch 117: loss 0.00000140, MAE 22.41, MSE 72.97, Best MAE 18.56, Best MSE 62.93 
Epoch 118: loss 0.00000138, MAE 21.22, MSE 73.25, Best MAE 18.56, Best MSE 62.93 
Epoch 119: loss 0.00000135, MAE 19.66, MSE 68.62, Best MAE 18.56, Best MSE 62.93 
Epoch 120: loss 0.00000137, MAE 22.00, MSE 71.57, Best MAE 18.56, Best MSE 62.93 
Epoch 121: loss 0.00000136, MAE 19.51, MSE 66.30, Best MAE 18.56, Best MSE 62.93 
Epoch 122: loss 0.00000139, MAE 20.54, MSE 70.42, Best MAE 18.56, Best MSE 62.93 
Epoch 123: loss 0.00000133, MAE 23.12, MSE 74.05, Best MAE 18.56, Best MSE 62.93 
Epoch 124: loss 0.00000135, MAE 21.23, MSE 73.19, Best MAE 18.56, Best MSE 62.93 
Epoch 125: loss 0.00000135, MAE 21.95, MSE 73.47, Best MAE 18.56, Best MSE 62.93 
Epoch 126: loss 0.00000137, MAE 20.21, MSE 69.22, Best MAE 18.56, Best MSE 62.93 
Epoch 127: loss 0.00000136, MAE 21.06, MSE 73.46, Best MAE 18.56, Best MSE 62.93 
Epoch 128: loss 0.00000136, MAE 21.39, MSE 68.75, Best MAE 18.56, Best MSE 62.93 
Epoch 129: loss 0.00000134, MAE 19.98, MSE 73.94, Best MAE 18.56, Best MSE 62.93 
Epoch 130: loss 0.00000135, MAE 22.05, MSE 74.87, Best MAE 18.56, Best MSE 62.93 
Epoch 131: loss 0.00000134, MAE 20.21, MSE 69.06, Best MAE 18.56, Best MSE 62.93 
Epoch 132: loss 0.00000130, MAE 21.73, MSE 78.89, Best MAE 18.56, Best MSE 62.93 
Epoch 133: loss 0.00000131, MAE 20.55, MSE 71.53, Best MAE 18.56, Best MSE 62.93 
Epoch 134: loss 0.00000132, MAE 20.28, MSE 72.89, Best MAE 18.56, Best MSE 62.93 
Epoch 135: loss 0.00000135, MAE 20.74, MSE 74.26, Best MAE 18.56, Best MSE 62.93 
Epoch 136: loss 0.00000134, MAE 26.52, MSE 78.16, Best MAE 18.56, Best MSE 62.93 
Epoch 137: loss 0.00000132, MAE 21.94, MSE 73.52, Best MAE 18.56, Best MSE 62.93 
Epoch 138: loss 0.00000130, MAE 21.19, MSE 72.19, Best MAE 18.56, Best MSE 62.93 
Epoch 139: loss 0.00000133, MAE 20.66, MSE 70.14, Best MAE 18.56, Best MSE 62.93 
Epoch 140: loss 0.00000134, MAE 18.84, MSE 63.76, Best MAE 18.56, Best MSE 62.93 
Epoch 141: loss 0.00000133, MAE 21.02, MSE 71.37, Best MAE 18.56, Best MSE 62.93 
Epoch 142: loss 0.00000133, MAE 23.29, MSE 78.48, Best MAE 18.56, Best MSE 62.93 
Epoch 143: loss 0.00000132, MAE 22.24, MSE 77.18, Best MAE 18.56, Best MSE 62.93 
Epoch 144: loss 0.00000134, MAE 21.69, MSE 72.83, Best MAE 18.56, Best MSE 62.93 
Epoch 145: loss 0.00000131, MAE 20.46, MSE 70.24, Best MAE 18.56, Best MSE 62.93 
Epoch 146: loss 0.00000131, MAE 20.88, MSE 71.61, Best MAE 18.56, Best MSE 62.93 
Epoch 147: loss 0.00000130, MAE 20.11, MSE 71.29, Best MAE 18.56, Best MSE 62.93 
Epoch 148: loss 0.00000129, MAE 22.56, MSE 75.55, Best MAE 18.56, Best MSE 62.93 
Epoch 149: loss 0.00000133, MAE 23.28, MSE 75.11, Best MAE 18.56, Best MSE 62.93 
Epoch 150: loss 0.00000132, MAE 23.94, MSE 76.82, Best MAE 18.56, Best MSE 62.93 
Epoch 151: loss 0.00000134, MAE 22.40, MSE 73.19, Best MAE 18.56, Best MSE 62.93 
Epoch 152: loss 0.00000133, MAE 21.54, MSE 72.37, Best MAE 18.56, Best MSE 62.93 
Epoch 153: loss 0.00000136, MAE 22.30, MSE 75.25, Best MAE 18.56, Best MSE 62.93 
Epoch 154: loss 0.00000132, MAE 21.52, MSE 67.20, Best MAE 18.56, Best MSE 62.93 
Epoch 155: loss 0.00000130, MAE 21.96, MSE 74.48, Best MAE 18.56, Best MSE 62.93 
Epoch 156: loss 0.00000130, MAE 22.39, MSE 72.91, Best MAE 18.56, Best MSE 62.93 
Epoch 157: loss 0.00000133, MAE 23.46, MSE 79.82, Best MAE 18.56, Best MSE 62.93 
Epoch 158: loss 0.00000134, MAE 21.83, MSE 73.39, Best MAE 18.56, Best MSE 62.93 
Epoch 159: loss 0.00000132, MAE 24.88, MSE 81.09, Best MAE 18.56, Best MSE 62.93 
Epoch 160: loss 0.00000129, MAE 23.37, MSE 75.55, Best MAE 18.56, Best MSE 62.93 
Epoch 161: loss 0.00000130, MAE 23.22, MSE 74.22, Best MAE 18.56, Best MSE 62.93 
Epoch 162: loss 0.00000131, MAE 21.67, MSE 73.13, Best MAE 18.56, Best MSE 62.93 
Epoch 163: loss 0.00000130, MAE 21.03, MSE 74.71, Best MAE 18.56, Best MSE 62.93 
Epoch 164: loss 0.00000131, MAE 23.93, MSE 80.18, Best MAE 18.56, Best MSE 62.93 
Epoch 165: loss 0.00000133, MAE 20.26, MSE 70.30, Best MAE 18.56, Best MSE 62.93 
Epoch 166: loss 0.00000132, MAE 22.55, MSE 77.70, Best MAE 18.56, Best MSE 62.93 
Epoch 167: loss 0.00000132, MAE 19.40, MSE 70.76, Best MAE 18.56, Best MSE 62.93 
Epoch 168: loss 0.00000126, MAE 22.69, MSE 73.01, Best MAE 18.56, Best MSE 62.93 
Epoch 169: loss 0.00000129, MAE 20.23, MSE 69.82, Best MAE 18.56, Best MSE 62.93 
Epoch 170: loss 0.00000130, MAE 24.53, MSE 73.43, Best MAE 18.56, Best MSE 62.93 
Epoch 171: loss 0.00000128, MAE 21.10, MSE 72.55, Best MAE 18.56, Best MSE 62.93 
Epoch 172: loss 0.00000132, MAE 21.59, MSE 75.08, Best MAE 18.56, Best MSE 62.93 
Epoch 173: loss 0.00000129, MAE 22.43, MSE 77.17, Best MAE 18.56, Best MSE 62.93 
Epoch 174: loss 0.00000130, MAE 20.67, MSE 73.48, Best MAE 18.56, Best MSE 62.93 
Epoch 175: loss 0.00000130, MAE 23.36, MSE 76.91, Best MAE 18.56, Best MSE 62.93 
Epoch 176: loss 0.00000132, MAE 23.32, MSE 77.43, Best MAE 18.56, Best MSE 62.93 
Epoch 177: loss 0.00000129, MAE 22.31, MSE 74.65, Best MAE 18.56, Best MSE 62.93 
Epoch 178: loss 0.00000129, MAE 20.82, MSE 74.33, Best MAE 18.56, Best MSE 62.93 
Epoch 179: loss 0.00000130, MAE 21.53, MSE 77.23, Best MAE 18.56, Best MSE 62.93 
Epoch 180: loss 0.00000125, MAE 28.49, MSE 84.62, Best MAE 18.56, Best MSE 62.93 
Epoch 181: loss 0.00000132, MAE 22.63, MSE 71.90, Best MAE 18.56, Best MSE 62.93 
Epoch 182: loss 0.00000132, MAE 20.52, MSE 70.80, Best MAE 18.56, Best MSE 62.93 
Epoch 183: loss 0.00000131, MAE 20.48, MSE 73.34, Best MAE 18.56, Best MSE 62.93 
Epoch 184: loss 0.00000128, MAE 20.83, MSE 74.31, Best MAE 18.56, Best MSE 62.93 
Epoch 185: loss 0.00000127, MAE 22.91, MSE 73.40, Best MAE 18.56, Best MSE 62.93 
Epoch 186: loss 0.00000126, MAE 20.77, MSE 73.27, Best MAE 18.56, Best MSE 62.93 
Epoch 187: loss 0.00000129, MAE 21.61, MSE 75.48, Best MAE 18.56, Best MSE 62.93 
Epoch 188: loss 0.00000129, MAE 22.23, MSE 74.04, Best MAE 18.56, Best MSE 62.93 
Epoch 189: loss 0.00000130, MAE 19.47, MSE 69.13, Best MAE 18.56, Best MSE 62.93 
Epoch 190: loss 0.00000127, MAE 22.01, MSE 74.85, Best MAE 18.56, Best MSE 62.93 
Epoch 191: loss 0.00000129, MAE 18.74, MSE 65.77, Best MAE 18.56, Best MSE 62.93 
Epoch 192: loss 0.00000127, MAE 22.30, MSE 70.53, Best MAE 18.56, Best MSE 62.93 
Epoch 193: loss 0.00000127, MAE 18.32, MSE 59.86, Best MAE 18.32, Best MSE 59.86 
Epoch 194: loss 0.00000129, MAE 22.61, MSE 78.35, Best MAE 18.32, Best MSE 59.86 
Epoch 195: loss 0.00000127, MAE 22.15, MSE 76.07, Best MAE 18.32, Best MSE 59.86 
Epoch 196: loss 0.00000125, MAE 21.51, MSE 74.17, Best MAE 18.32, Best MSE 59.86 
Epoch 197: loss 0.00000123, MAE 25.07, MSE 78.84, Best MAE 18.32, Best MSE 59.86 
Epoch 198: loss 0.00000128, MAE 23.27, MSE 76.68, Best MAE 18.32, Best MSE 59.86 
Epoch 199: loss 0.00000125, MAE 22.32, MSE 80.14, Best MAE 18.32, Best MSE 59.86 
Epoch 200: loss 0.00000125, MAE 22.08, MSE 76.19, Best MAE 18.32, Best MSE 59.86 
Epoch 201: loss 0.00000124, MAE 20.48, MSE 71.67, Best MAE 18.32, Best MSE 59.86 
