MAE 33.13, MSE 87.03 
MAE 32.13, MSE 77.62 
MAE 30.80, MSE 84.20 
MAE 28.55, MSE 80.92 
MAE 24.08, MSE 64.79 
MAE 25.95, MSE 74.20 
MAE 23.30, MSE 71.87 
MAE 22.88, MSE 73.05 
MAE 30.47, MSE 78.92 
MAE 24.28, MSE 72.71 
MAE 23.65, MSE 73.78 
MAE 20.94, MSE 68.64 
MAE 23.07, MSE 78.24 
MAE 22.32, MSE 73.88 
MAE 26.83, MSE 87.47 
MAE 20.52, MSE 70.39 
MAE 22.55, MSE 70.21 
MAE 51.02, MSE 91.37 
MAE 22.19, MSE 71.57 
MAE 23.17, MSE 72.69 
MAE 24.13, MSE 76.45 
MAE 23.55, MSE 67.82 
MAE 32.95, MSE 70.36 
MAE 23.92, MSE 80.20 
MAE 23.68, MSE 73.89 
MAE 19.62, MSE 62.64 
MAE 19.37, MSE 66.93 
MAE 20.13, MSE 67.79 
MAE 27.72, MSE 75.72 
MAE 21.95, MSE 72.23 
MAE 18.56, MSE 62.93 
MAE 24.83, MSE 74.95 
MAE 20.12, MSE 64.88 
MAE 21.44, MSE 76.54 
MAE 19.11, MSE 65.16 
MAE 18.92, MSE 64.58 
MAE 19.71, MSE 66.14 
MAE 23.71, MSE 73.02 
MAE 20.18, MSE 69.25 
MAE 19.93, MSE 67.30 
MAE 24.56, MSE 71.42 
MAE 19.34, MSE 66.82 
MAE 19.25, MSE 67.18 
MAE 25.92, MSE 73.71 
MAE 25.18, MSE 75.33 
MAE 28.54, MSE 85.11 
MAE 20.15, MSE 62.68 
MAE 22.69, MSE 65.63 
MAE 25.22, MSE 71.90 
MAE 22.90, MSE 68.32 
MAE 23.06, MSE 72.71 
MAE 23.41, MSE 69.67 
MAE 20.50, MSE 67.36 
MAE 20.10, MSE 64.54 
MAE 19.97, MSE 64.90 
MAE 22.72, MSE 71.13 
MAE 19.12, MSE 64.50 
MAE 20.81, MSE 69.04 
MAE 23.97, MSE 70.99 
MAE 19.70, MSE 67.17 
MAE 19.50, MSE 63.91 
MAE 22.13, MSE 69.83 
MAE 25.17, MSE 76.82 
MAE 23.89, MSE 75.33 
MAE 20.66, MSE 66.92 
