Epoch 1: loss 0.00000189, MAE 29.15, MSE 86.02, Best MAE 29.15, Best MSE 86.02 
Epoch 2: loss 0.00000183, MAE 26.85, MSE 68.77, Best MAE 26.85, Best MSE 68.77 
Epoch 3: loss 0.00000183, MAE 28.74, MSE 88.58, Best MAE 26.85, Best MSE 68.77 
Epoch 4: loss 0.00000174, MAE 28.27, MSE 82.38, Best MAE 26.85, Best MSE 68.77 
Epoch 5: loss 0.00000173, MAE 24.08, MSE 70.08, Best MAE 24.08, Best MSE 70.08 
Epoch 6: loss 0.00000167, MAE 23.77, MSE 76.43, Best MAE 23.77, Best MSE 76.43 
Epoch 7: loss 0.00000168, MAE 24.52, MSE 76.94, Best MAE 23.77, Best MSE 76.43 
Epoch 8: loss 0.00000168, MAE 42.68, MSE 86.26, Best MAE 23.77, Best MSE 76.43 
Epoch 9: loss 0.00000169, MAE 27.72, MSE 88.09, Best MAE 23.77, Best MSE 76.43 
Epoch 10: loss 0.00000169, MAE 24.59, MSE 82.61, Best MAE 23.77, Best MSE 76.43 
Epoch 11: loss 0.00000164, MAE 23.18, MSE 76.95, Best MAE 23.18, Best MSE 76.95 
Epoch 12: loss 0.00000164, MAE 25.04, MSE 81.55, Best MAE 23.18, Best MSE 76.95 
Epoch 13: loss 0.00000165, MAE 33.12, MSE 106.67, Best MAE 23.18, Best MSE 76.95 
Epoch 14: loss 0.00000167, MAE 26.26, MSE 76.01, Best MAE 23.18, Best MSE 76.95 
Epoch 15: loss 0.00000161, MAE 23.06, MSE 69.37, Best MAE 23.06, Best MSE 69.37 
Epoch 16: loss 0.00000159, MAE 23.98, MSE 77.40, Best MAE 23.06, Best MSE 69.37 
Epoch 17: loss 0.00000161, MAE 23.31, MSE 73.66, Best MAE 23.06, Best MSE 69.37 
Epoch 18: loss 0.00000159, MAE 23.79, MSE 77.51, Best MAE 23.06, Best MSE 69.37 
Epoch 19: loss 0.00000161, MAE 21.31, MSE 72.54, Best MAE 21.31, Best MSE 72.54 
Epoch 20: loss 0.00000160, MAE 26.85, MSE 76.25, Best MAE 21.31, Best MSE 72.54 
Epoch 21: loss 0.00000163, MAE 20.99, MSE 67.88, Best MAE 20.99, Best MSE 67.88 
Epoch 22: loss 0.00000158, MAE 39.51, MSE 92.38, Best MAE 20.99, Best MSE 67.88 
Epoch 23: loss 0.00000160, MAE 22.66, MSE 74.89, Best MAE 20.99, Best MSE 67.88 
Epoch 24: loss 0.00000158, MAE 22.65, MSE 77.45, Best MAE 20.99, Best MSE 67.88 
Epoch 25: loss 0.00000159, MAE 21.93, MSE 77.39, Best MAE 20.99, Best MSE 67.88 
Epoch 26: loss 0.00000157, MAE 23.34, MSE 76.83, Best MAE 20.99, Best MSE 67.88 
Epoch 27: loss 0.00000152, MAE 24.02, MSE 78.34, Best MAE 20.99, Best MSE 67.88 
Epoch 28: loss 0.00000154, MAE 28.19, MSE 82.52, Best MAE 20.99, Best MSE 67.88 
Epoch 29: loss 0.00000154, MAE 26.53, MSE 74.37, Best MAE 20.99, Best MSE 67.88 
Epoch 30: loss 0.00000156, MAE 21.36, MSE 72.96, Best MAE 20.99, Best MSE 67.88 
Epoch 31: loss 0.00000153, MAE 20.39, MSE 68.01, Best MAE 20.39, Best MSE 68.01 
Epoch 32: loss 0.00000158, MAE 28.75, MSE 86.20, Best MAE 20.39, Best MSE 68.01 
Epoch 33: loss 0.00000156, MAE 21.95, MSE 77.93, Best MAE 20.39, Best MSE 68.01 
Epoch 34: loss 0.00000151, MAE 26.66, MSE 91.85, Best MAE 20.39, Best MSE 68.01 
Epoch 35: loss 0.00000152, MAE 36.28, MSE 87.17, Best MAE 20.39, Best MSE 68.01 
Epoch 36: loss 0.00000155, MAE 23.09, MSE 68.44, Best MAE 20.39, Best MSE 68.01 
Epoch 37: loss 0.00000153, MAE 24.30, MSE 84.45, Best MAE 20.39, Best MSE 68.01 
Epoch 38: loss 0.00000147, MAE 21.59, MSE 69.71, Best MAE 20.39, Best MSE 68.01 
Epoch 39: loss 0.00000150, MAE 22.21, MSE 78.57, Best MAE 20.39, Best MSE 68.01 
Epoch 40: loss 0.00000154, MAE 19.09, MSE 65.52, Best MAE 19.09, Best MSE 65.52 
Epoch 41: loss 0.00000151, MAE 24.50, MSE 81.54, Best MAE 19.09, Best MSE 65.52 
Epoch 42: loss 0.00000151, MAE 23.47, MSE 63.79, Best MAE 19.09, Best MSE 65.52 
Epoch 43: loss 0.00000152, MAE 21.13, MSE 71.92, Best MAE 19.09, Best MSE 65.52 
Epoch 44: loss 0.00000151, MAE 22.05, MSE 71.61, Best MAE 19.09, Best MSE 65.52 
Epoch 45: loss 0.00000149, MAE 20.92, MSE 73.74, Best MAE 19.09, Best MSE 65.52 
Epoch 46: loss 0.00000151, MAE 29.00, MSE 81.25, Best MAE 19.09, Best MSE 65.52 
Epoch 47: loss 0.00000148, MAE 38.28, MSE 100.05, Best MAE 19.09, Best MSE 65.52 
Epoch 48: loss 0.00000149, MAE 22.40, MSE 70.54, Best MAE 19.09, Best MSE 65.52 
Epoch 49: loss 0.00000148, MAE 20.48, MSE 70.04, Best MAE 19.09, Best MSE 65.52 
Epoch 50: loss 0.00000148, MAE 19.73, MSE 64.67, Best MAE 19.09, Best MSE 65.52 
Epoch 51: loss 0.00000148, MAE 21.99, MSE 70.15, Best MAE 19.09, Best MSE 65.52 
Epoch 52: loss 0.00000148, MAE 22.65, MSE 73.86, Best MAE 19.09, Best MSE 65.52 
Epoch 53: loss 0.00000148, MAE 28.71, MSE 64.03, Best MAE 19.09, Best MSE 65.52 
Epoch 54: loss 0.00000152, MAE 23.41, MSE 77.03, Best MAE 19.09, Best MSE 65.52 
Epoch 55: loss 0.00000146, MAE 22.99, MSE 78.33, Best MAE 19.09, Best MSE 65.52 
Epoch 56: loss 0.00000148, MAE 21.03, MSE 73.87, Best MAE 19.09, Best MSE 65.52 
Epoch 57: loss 0.00000145, MAE 22.10, MSE 68.52, Best MAE 19.09, Best MSE 65.52 
Epoch 58: loss 0.00000143, MAE 23.07, MSE 78.82, Best MAE 19.09, Best MSE 65.52 
Epoch 59: loss 0.00000143, MAE 21.71, MSE 68.20, Best MAE 19.09, Best MSE 65.52 
Epoch 60: loss 0.00000145, MAE 20.19, MSE 69.66, Best MAE 19.09, Best MSE 65.52 
Epoch 61: loss 0.00000144, MAE 22.58, MSE 76.88, Best MAE 19.09, Best MSE 65.52 
Epoch 62: loss 0.00000144, MAE 24.23, MSE 74.89, Best MAE 19.09, Best MSE 65.52 
Epoch 63: loss 0.00000147, MAE 22.42, MSE 73.58, Best MAE 19.09, Best MSE 65.52 
Epoch 64: loss 0.00000144, MAE 22.19, MSE 71.86, Best MAE 19.09, Best MSE 65.52 
Epoch 65: loss 0.00000148, MAE 21.74, MSE 75.12, Best MAE 19.09, Best MSE 65.52 
Epoch 66: loss 0.00000143, MAE 22.94, MSE 71.14, Best MAE 19.09, Best MSE 65.52 
Epoch 67: loss 0.00000141, MAE 23.02, MSE 73.86, Best MAE 19.09, Best MSE 65.52 
Epoch 68: loss 0.00000142, MAE 20.34, MSE 63.35, Best MAE 19.09, Best MSE 65.52 
Epoch 69: loss 0.00000142, MAE 21.60, MSE 72.01, Best MAE 19.09, Best MSE 65.52 
Epoch 70: loss 0.00000145, MAE 20.37, MSE 62.11, Best MAE 19.09, Best MSE 65.52 
Epoch 71: loss 0.00000141, MAE 22.06, MSE 75.25, Best MAE 19.09, Best MSE 65.52 
Epoch 72: loss 0.00000140, MAE 22.33, MSE 71.12, Best MAE 19.09, Best MSE 65.52 
Epoch 73: loss 0.00000141, MAE 20.34, MSE 68.62, Best MAE 19.09, Best MSE 65.52 
Epoch 74: loss 0.00000140, MAE 22.41, MSE 68.51, Best MAE 19.09, Best MSE 65.52 
Epoch 75: loss 0.00000143, MAE 24.39, MSE 72.01, Best MAE 19.09, Best MSE 65.52 
Epoch 76: loss 0.00000139, MAE 20.32, MSE 69.83, Best MAE 19.09, Best MSE 65.52 
Epoch 77: loss 0.00000140, MAE 22.47, MSE 74.30, Best MAE 19.09, Best MSE 65.52 
Epoch 78: loss 0.00000145, MAE 20.40, MSE 68.59, Best MAE 19.09, Best MSE 65.52 
Epoch 79: loss 0.00000140, MAE 23.19, MSE 63.92, Best MAE 19.09, Best MSE 65.52 
Epoch 80: loss 0.00000141, MAE 23.77, MSE 76.84, Best MAE 19.09, Best MSE 65.52 
Epoch 81: loss 0.00000138, MAE 22.22, MSE 73.22, Best MAE 19.09, Best MSE 65.52 
Epoch 82: loss 0.00000139, MAE 24.23, MSE 77.03, Best MAE 19.09, Best MSE 65.52 
Epoch 83: loss 0.00000138, MAE 21.09, MSE 74.53, Best MAE 19.09, Best MSE 65.52 
Epoch 84: loss 0.00000138, MAE 21.77, MSE 72.72, Best MAE 19.09, Best MSE 65.52 
Epoch 85: loss 0.00000138, MAE 22.18, MSE 76.10, Best MAE 19.09, Best MSE 65.52 
Epoch 86: loss 0.00000139, MAE 21.00, MSE 73.19, Best MAE 19.09, Best MSE 65.52 
Epoch 87: loss 0.00000138, MAE 25.14, MSE 79.51, Best MAE 19.09, Best MSE 65.52 
Epoch 88: loss 0.00000138, MAE 20.48, MSE 70.72, Best MAE 19.09, Best MSE 65.52 
Epoch 89: loss 0.00000139, MAE 21.90, MSE 74.33, Best MAE 19.09, Best MSE 65.52 
Epoch 90: loss 0.00000139, MAE 22.72, MSE 78.07, Best MAE 19.09, Best MSE 65.52 
Epoch 91: loss 0.00000143, MAE 22.65, MSE 75.28, Best MAE 19.09, Best MSE 65.52 
Epoch 92: loss 0.00000136, MAE 21.11, MSE 72.41, Best MAE 19.09, Best MSE 65.52 
Epoch 93: loss 0.00000136, MAE 23.44, MSE 70.88, Best MAE 19.09, Best MSE 65.52 
Epoch 94: loss 0.00000138, MAE 33.52, MSE 81.28, Best MAE 19.09, Best MSE 65.52 
Epoch 95: loss 0.00000137, MAE 23.94, MSE 78.40, Best MAE 19.09, Best MSE 65.52 
Epoch 96: loss 0.00000137, MAE 20.44, MSE 71.98, Best MAE 19.09, Best MSE 65.52 
Epoch 97: loss 0.00000139, MAE 29.33, MSE 81.39, Best MAE 19.09, Best MSE 65.52 
Epoch 98: loss 0.00000138, MAE 25.32, MSE 68.70, Best MAE 19.09, Best MSE 65.52 
Epoch 99: loss 0.00000134, MAE 19.42, MSE 63.64, Best MAE 19.09, Best MSE 65.52 
Epoch 100: loss 0.00000136, MAE 21.87, MSE 72.85, Best MAE 19.09, Best MSE 65.52 
Epoch 101: loss 0.00000135, MAE 20.99, MSE 73.67, Best MAE 19.09, Best MSE 65.52 
Epoch 102: loss 0.00000134, MAE 18.72, MSE 59.86, Best MAE 18.72, Best MSE 59.86 
Epoch 103: loss 0.00000133, MAE 21.00, MSE 72.37, Best MAE 18.72, Best MSE 59.86 
Epoch 104: loss 0.00000135, MAE 19.55, MSE 66.80, Best MAE 18.72, Best MSE 59.86 
Epoch 105: loss 0.00000138, MAE 20.49, MSE 70.76, Best MAE 18.72, Best MSE 59.86 
Epoch 106: loss 0.00000131, MAE 22.88, MSE 71.40, Best MAE 18.72, Best MSE 59.86 
Epoch 107: loss 0.00000134, MAE 21.14, MSE 66.71, Best MAE 18.72, Best MSE 59.86 
Epoch 108: loss 0.00000134, MAE 20.51, MSE 72.08, Best MAE 18.72, Best MSE 59.86 
Epoch 109: loss 0.00000135, MAE 23.04, MSE 74.50, Best MAE 18.72, Best MSE 59.86 
Epoch 110: loss 0.00000136, MAE 20.14, MSE 68.28, Best MAE 18.72, Best MSE 59.86 
