MAE 29.15, MSE 86.02 
MAE 26.85, MSE 68.77 
MAE 28.74, MSE 88.58 
MAE 28.27, MSE 82.38 
MAE 24.08, MSE 70.08 
MAE 23.77, MSE 76.43 
MAE 24.52, MSE 76.94 
MAE 42.68, MSE 86.26 
MAE 27.72, MSE 88.09 
MAE 24.59, MSE 82.61 
MAE 23.18, MSE 76.95 
MAE 25.04, MSE 81.55 
MAE 33.12, MSE 106.67 
MAE 26.26, MSE 76.01 
MAE 23.06, MSE 69.37 
MAE 23.98, MSE 77.40 
MAE 23.31, MSE 73.66 
MAE 23.79, MSE 77.51 
MAE 21.31, MSE 72.54 
MAE 26.85, MSE 76.25 
MAE 20.99, MSE 67.88 
MAE 39.51, MSE 92.38 
MAE 22.66, MSE 74.89 
MAE 22.65, MSE 77.45 
MAE 21.93, MSE 77.39 
MAE 23.34, MSE 76.83 
MAE 24.02, MSE 78.34 
MAE 28.19, MSE 82.52 
MAE 26.53, MSE 74.37 
MAE 21.36, MSE 72.96 
MAE 20.39, MSE 68.01 
MAE 28.75, MSE 86.20 
MAE 21.95, MSE 77.93 
MAE 26.66, MSE 91.85 
MAE 36.28, MSE 87.17 
MAE 23.09, MSE 68.44 
MAE 24.30, MSE 84.45 
MAE 21.59, MSE 69.71 
MAE 22.21, MSE 78.57 
MAE 19.09, MSE 65.52 
MAE 24.50, MSE 81.54 
MAE 23.47, MSE 63.79 
MAE 21.13, MSE 71.92 
MAE 22.05, MSE 71.61 
MAE 20.92, MSE 73.74 
MAE 29.00, MSE 81.25 
MAE 38.28, MSE 100.05 
MAE 22.40, MSE 70.54 
MAE 20.48, MSE 70.04 
MAE 19.73, MSE 64.67 
MAE 21.99, MSE 70.15 
MAE 22.65, MSE 73.86 
MAE 28.71, MSE 64.03 
MAE 23.41, MSE 77.03 
MAE 22.99, MSE 78.33 
MAE 21.03, MSE 73.87 
MAE 22.10, MSE 68.52 
MAE 23.07, MSE 78.82 
MAE 21.71, MSE 68.20 
MAE 20.19, MSE 69.66 
MAE 22.58, MSE 76.88 
MAE 24.23, MSE 74.89 
MAE 22.42, MSE 73.58 
MAE 22.19, MSE 71.86 
MAE 21.74, MSE 75.12 
MAE 22.94, MSE 71.14 
MAE 23.02, MSE 73.86 
MAE 20.34, MSE 63.35 
MAE 21.60, MSE 72.01 
MAE 20.37, MSE 62.11 
MAE 22.06, MSE 75.25 
MAE 22.33, MSE 71.12 
MAE 20.34, MSE 68.62 
MAE 22.41, MSE 68.51 
MAE 24.39, MSE 72.01 
MAE 20.32, MSE 69.83 
MAE 22.47, MSE 74.30 
MAE 20.40, MSE 68.59 
MAE 23.19, MSE 63.92 
MAE 23.77, MSE 76.84 
MAE 22.22, MSE 73.22 
MAE 24.23, MSE 77.03 
MAE 21.09, MSE 74.53 
MAE 21.77, MSE 72.72 
MAE 22.18, MSE 76.10 
MAE 21.00, MSE 73.19 
MAE 25.14, MSE 79.51 
MAE 20.48, MSE 70.72 
MAE 21.90, MSE 74.33 
MAE 22.72, MSE 78.07 
MAE 22.65, MSE 75.28 
MAE 21.11, MSE 72.41 
MAE 23.44, MSE 70.88 
MAE 33.52, MSE 81.28 
MAE 23.94, MSE 78.40 
MAE 20.44, MSE 71.98 
MAE 29.33, MSE 81.39 
MAE 25.32, MSE 68.70 
MAE 19.42, MSE 63.64 
MAE 21.87, MSE 72.85 
MAE 20.99, MSE 73.67 
MAE 18.72, MSE 59.86 
MAE 21.00, MSE 72.37 
MAE 19.55, MSE 66.80 
MAE 20.49, MSE 70.76 
MAE 22.88, MSE 71.40 
MAE 21.14, MSE 66.71 
MAE 20.51, MSE 72.08 
MAE 23.04, MSE 74.50 
MAE 20.14, MSE 68.28 
