Epoch 1: loss 0.00000217, MAE 48.69, MSE 124.88, Best MAE 48.69, Best MSE 124.88 
Epoch 2: loss 0.00000211, MAE 45.86, MSE 116.74, Best MAE 45.86, Best MSE 116.74 
Epoch 3: loss 0.00000205, MAE 39.66, MSE 106.33, Best MAE 39.66, Best MSE 106.33 
Epoch 4: loss 0.00000197, MAE 36.85, MSE 101.67, Best MAE 36.85, Best MSE 101.67 
Epoch 5: loss 0.00000200, MAE 107.35, MSE 135.02, Best MAE 36.85, Best MSE 101.67 
Epoch 6: loss 0.00000194, MAE 32.89, MSE 95.39, Best MAE 32.89, Best MSE 95.39 
Epoch 7: loss 0.00000185, MAE 33.23, MSE 94.45, Best MAE 32.89, Best MSE 95.39 
Epoch 8: loss 0.00000183, MAE 33.47, MSE 82.47, Best MAE 32.89, Best MSE 95.39 
Epoch 9: loss 0.00000181, MAE 29.84, MSE 84.83, Best MAE 29.84, Best MSE 84.83 
Epoch 10: loss 0.00000178, MAE 27.88, MSE 84.28, Best MAE 27.88, Best MSE 84.28 
Epoch 11: loss 0.00000181, MAE 34.25, MSE 93.38, Best MAE 27.88, Best MSE 84.28 
Epoch 12: loss 0.00000176, MAE 27.56, MSE 85.24, Best MAE 27.56, Best MSE 85.24 
Epoch 13: loss 0.00000171, MAE 29.51, MSE 90.70, Best MAE 27.56, Best MSE 85.24 
Epoch 14: loss 0.00000174, MAE 30.73, MSE 90.52, Best MAE 27.56, Best MSE 85.24 
Epoch 15: loss 0.00000174, MAE 44.08, MSE 105.55, Best MAE 27.56, Best MSE 85.24 
Epoch 16: loss 0.00000177, MAE 27.13, MSE 84.44, Best MAE 27.13, Best MSE 84.44 
Epoch 17: loss 0.00000171, MAE 32.43, MSE 96.21, Best MAE 27.13, Best MSE 84.44 
Epoch 18: loss 0.00000170, MAE 30.70, MSE 92.68, Best MAE 27.13, Best MSE 84.44 
Epoch 19: loss 0.00000170, MAE 26.87, MSE 87.07, Best MAE 26.87, Best MSE 87.07 
Epoch 20: loss 0.00000168, MAE 27.47, MSE 85.85, Best MAE 26.87, Best MSE 87.07 
Epoch 21: loss 0.00000169, MAE 27.33, MSE 87.78, Best MAE 26.87, Best MSE 87.07 
Epoch 22: loss 0.00000166, MAE 25.25, MSE 85.28, Best MAE 25.25, Best MSE 85.28 
Epoch 23: loss 0.00000166, MAE 36.22, MSE 94.32, Best MAE 25.25, Best MSE 85.28 
Epoch 24: loss 0.00000164, MAE 27.34, MSE 88.66, Best MAE 25.25, Best MSE 85.28 
Epoch 25: loss 0.00000165, MAE 27.15, MSE 84.45, Best MAE 25.25, Best MSE 85.28 
Epoch 26: loss 0.00000164, MAE 29.03, MSE 89.29, Best MAE 25.25, Best MSE 85.28 
Epoch 27: loss 0.00000160, MAE 25.60, MSE 85.60, Best MAE 25.25, Best MSE 85.28 
Epoch 28: loss 0.00000159, MAE 28.28, MSE 88.51, Best MAE 25.25, Best MSE 85.28 
Epoch 29: loss 0.00000162, MAE 25.71, MSE 85.81, Best MAE 25.25, Best MSE 85.28 
Epoch 30: loss 0.00000161, MAE 25.16, MSE 87.43, Best MAE 25.16, Best MSE 87.43 
Epoch 31: loss 0.00000160, MAE 27.34, MSE 86.59, Best MAE 25.16, Best MSE 87.43 
Epoch 32: loss 0.00000156, MAE 26.81, MSE 85.63, Best MAE 25.16, Best MSE 87.43 
Epoch 33: loss 0.00000158, MAE 23.57, MSE 82.15, Best MAE 23.57, Best MSE 82.15 
Epoch 34: loss 0.00000157, MAE 26.15, MSE 86.15, Best MAE 23.57, Best MSE 82.15 
Epoch 35: loss 0.00000158, MAE 27.08, MSE 86.82, Best MAE 23.57, Best MSE 82.15 
Epoch 36: loss 0.00000157, MAE 24.84, MSE 83.01, Best MAE 23.57, Best MSE 82.15 
Epoch 37: loss 0.00000155, MAE 33.92, MSE 89.64, Best MAE 23.57, Best MSE 82.15 
Epoch 38: loss 0.00000154, MAE 25.65, MSE 85.26, Best MAE 23.57, Best MSE 82.15 
Epoch 39: loss 0.00000156, MAE 23.90, MSE 82.51, Best MAE 23.57, Best MSE 82.15 
