MAE 48.69, MSE 124.88 
MAE 45.86, MSE 116.74 
MAE 39.66, MSE 106.33 
MAE 36.85, MSE 101.67 
MAE 107.35, MSE 135.02 
MAE 32.89, MSE 95.39 
MAE 33.23, MSE 94.45 
MAE 33.47, MSE 82.47 
MAE 29.84, MSE 84.83 
MAE 27.88, MSE 84.28 
MAE 34.25, MSE 93.38 
MAE 27.56, MSE 85.24 
MAE 29.51, MSE 90.70 
MAE 30.73, MSE 90.52 
MAE 44.08, MSE 105.55 
MAE 27.13, MSE 84.44 
MAE 32.43, MSE 96.21 
MAE 30.70, MSE 92.68 
MAE 26.87, MSE 87.07 
MAE 27.47, MSE 85.85 
MAE 27.33, MSE 87.78 
MAE 25.25, MSE 85.28 
MAE 36.22, MSE 94.32 
MAE 27.34, MSE 88.66 
MAE 27.15, MSE 84.45 
MAE 29.03, MSE 89.29 
MAE 25.60, MSE 85.60 
MAE 28.28, MSE 88.51 
MAE 25.71, MSE 85.81 
MAE 25.16, MSE 87.43 
MAE 27.34, MSE 86.59 
MAE 26.81, MSE 85.63 
MAE 23.57, MSE 82.15 
MAE 26.15, MSE 86.15 
MAE 27.08, MSE 86.82 
MAE 24.84, MSE 83.01 
MAE 33.92, MSE 89.64 
MAE 25.65, MSE 85.26 
MAE 23.90, MSE 82.51 
MAE 25.57, MSE 86.66 
MAE 24.40, MSE 83.35 
MAE 25.00, MSE 84.18 
MAE 26.94, MSE 85.78 
MAE 24.67, MSE 82.52 
MAE 29.37, MSE 85.00 
MAE 28.76, MSE 89.15 
MAE 24.86, MSE 84.57 
MAE 29.18, MSE 84.39 
MAE 34.50, MSE 89.78 
MAE 25.38, MSE 87.95 
MAE 25.10, MSE 82.70 
MAE 24.37, MSE 82.08 
MAE 27.41, MSE 88.57 
MAE 29.67, MSE 92.94 
MAE 47.35, MSE 115.08 
MAE 27.38, MSE 87.68 
MAE 28.37, MSE 88.40 
MAE 26.21, MSE 89.22 
MAE 24.38, MSE 82.70 
MAE 26.02, MSE 88.18 
MAE 25.10, MSE 84.66 
MAE 24.68, MSE 84.21 
MAE 26.11, MSE 86.10 
MAE 26.43, MSE 87.10 
MAE 24.19, MSE 84.56 
MAE 27.11, MSE 88.92 
MAE 26.90, MSE 89.57 
MAE 23.58, MSE 82.56 
MAE 24.46, MSE 84.80 
MAE 26.47, MSE 88.24 
MAE 24.35, MSE 84.05 
MAE 26.44, MSE 88.11 
MAE 27.17, MSE 91.23 
MAE 24.81, MSE 85.60 
MAE 25.45, MSE 88.54 
MAE 24.33, MSE 85.49 
MAE 25.93, MSE 88.24 
MAE 23.41, MSE 81.67 
MAE 25.15, MSE 89.28 
MAE 25.78, MSE 87.79 
MAE 28.23, MSE 94.40 
MAE 24.52, MSE 85.38 
MAE 25.69, MSE 88.84 
MAE 23.29, MSE 78.57 
MAE 25.20, MSE 88.68 
MAE 23.79, MSE 82.82 
MAE 24.57, MSE 84.30 
MAE 27.98, MSE 91.08 
MAE 24.35, MSE 87.19 
MAE 24.36, MSE 77.27 
MAE 24.65, MSE 84.90 
MAE 24.58, MSE 85.83 
MAE 27.42, MSE 90.96 
MAE 27.75, MSE 84.17 
MAE 24.10, MSE 84.00 
MAE 25.62, MSE 88.10 
MAE 24.28, MSE 84.09 
MAE 24.45, MSE 83.76 
MAE 26.16, MSE 88.33 
MAE 26.07, MSE 88.24 
MAE 24.35, MSE 85.96 
MAE 24.90, MSE 85.99 
MAE 29.35, MSE 99.53 
MAE 25.93, MSE 87.71 
MAE 24.73, MSE 86.24 
MAE 26.81, MSE 89.38 
MAE 24.71, MSE 85.48 
MAE 24.43, MSE 86.10 
MAE 23.84, MSE 80.06 
